cv_filename,name,num_hits,matches,snippets
1.BasuR_CV.pdf,Riddha Basu,0,,
3822,George T. Solomon,,,
Askari_Hossein_Faculty_CV_-2016.06.21.pdf,Hossein Askari,1,Ai,"Protection,"" with V. Corbo, Estudios de  Economia , No. 16, Segundo Semestre 1980 -  Primer Semestr e 1981.     ""OPEC's Ai d Performance: An Appraisal,"" SAIS Review , Number 2, 1982.    ""The Gulf: Gold Rush or Economic Development? With J. Cu"
Bailey CV. 7-25.doc,James R.  Bailey,,,
CV October 2025.pdf,Edward Sul,0,,
CV Terry Hsiao .pdf,Terry Hsiao,0,,
CV updated 071825.doc,Laura D'Antonio,,,
CV-RRF2023.pdf,Rodimiro Rodrigo,,,
CV_JWalter_January2026.pdf,Jorge Walter,1,artificial intelligence,"Kreutzer, M. & Walter, J. (202 5). Reconceptualizing organizational control: Managing in the age of hybrid  workplaces, artificial intelligence, and the gig economy . Cambridge University Press.     Recognized as a finalist for the 2025 European Group for Organiz"
CV_Jin Hyung Kim.pdf,Jin Hyung Kim,0,,
