name,fac_profile_url,fac_profile_num_hits,fac_profile_matches,fac_profile_snippets,per_site_url,per_site_num_hits,per_site_matches,per_site_snippets,cv_filename,cv_num_hits,cv_matches,cv_snippets,total_hits
Ayman El Tarabishy,,0,,,http://www.aymaneltarabishy.com/,16,AI; Artificial intelligence; ChatGPT; Generative AI,"nt of Management at the George Washington University School of Business. Breaking News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barrier || Washington University School of Business. Breaking News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barriers or recreate them through over-regulation. Examini || t top-down governance, enables ecosystem success in technological disruption. The post Evoking Ecosystems in the Age of AI appeared first on ICSB | International Council for Small Business. Read More Asking good questions in the age of Genera || of AI appeared first on ICSB | International Council for Small Business. Read More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innov || More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innovative technologies like ChatGPT relies on asking well-formulated questions. It",,0,,,16
Ben Bronner,,0,,,,0,,,bronner_cv_april_2024.pdf,1,Artificial Intelligence,"/22   Adapting and Remixing OER, 11/2/22   Adopting OER into Your Courseware Material, 9/28/22   Miscellaneous   Use of Artificial Intelligence in the Classroom. Ad hoc group of GW faculty, George  Washington University, 1/18/23   Workshop on Grading Collaborativ",1
Chukwuma Dim,,0,,,https://sites.google.com/view/chukwumadim/,2,machine learning; natural language processing,"Finance & Management. My research interests are in empirical asset pricing, investor behavior, and the applications of machine learning and natural language processing in asset pricing . You can contact me at : cdim@gwu.edu CV Twitter LinkedIn Google Site || . My research interests are in empirical asset pricing, investor behavior, and the applications of machine learning and natural language processing in asset pricing . You can contact me at : cdim@gwu.edu CV Twitter LinkedIn Google Sites Report abuse Page details Page",,0,,,2
David Jacobs,,0,,,,0,,,jacobscv25.pdf,1,AI,"992).  ""John Dunlop and the Quest for Consensus,"" The Academy of Management Review (July 1986). PRACTITIONER ARTICLES: “AI: Its Possibilities and Discontents,” Perspectives on Work (Fall 2024). “The Politicization of Catholic Social Teaching,",1
Davide Sonzogni,,0,,,,0,,,davide_sonzogni_cv_august_2023.pdf,1,Artificial Intelligence,"EDUCATION   Massachusetts Institute of Technology - Sloan School of Management              Online   Certificate, Artificial Intelligence: Implications for Business Strategy           2018    George Washington University",1
Denise Falchetti,,0,,,,0,,,denise_falchetti_cv_2025_01_22.pdf,1,AI,partment (2022 – now)  EDUCATIONAL ACTIVITIES June 2023 RM-CARMA Consortium [online] May 2023 Teaching Entrepreneurship AI Summit [online],1
Donna Hoffman,https://business.gwu.edu/donna-hoffman,15,AI; algorithms; artificial intelligence; machine learning,"research is focused on using conceptual, empirical and computational approaches to understand consumer experience with AI. Her work has been published in all of the field’s top journals and enjoys wide impact with nearly 30,000 Google schola || urnal of the Association for Consumer Research , Vol. 2 (No. 2), pp. 216-228. Areas of Expertise Consumer experience of AI using conceptual, computational and empirical approaches Online consumer behavior and digital marketing strategy Select || onal and empirical approaches Online consumer behavior and digital marketing strategy Select Courses Taught MKTG 6290 - AI and Marketing Strategy This new elective course on AI and Marketing Strategy focuses on applications of artificial inte || and digital marketing strategy Select Courses Taught MKTG 6290 - AI and Marketing Strategy This new elective course on AI and Marketing Strategy focuses on applications of artificial intelligence in the marketing domain. First, we address th || MKTG 6290 - AI and Marketing Strategy This new elective course on AI and Marketing Strategy focuses on applications of artificial intelligence in the marketing domain. First, we address the question of what is AI and review the current business trends. Next, we",http://postsocial.gwu.edu/,7,AI; artificial intelligence; machine learning; natural language processing,"research is focused on using conceptual, empirical and computational approaches to understand consumer experience with AI. Her work has been published in all of the field's top journals and enjoys wide impact with over 42,000 Google scholar || , USC, and UCSD. She was named a Distinguished Graduate Alumnus of UNC in 2002. Research Focus Consumer experience with AI using conceptual, computational, and empirical approaches. Digital marketing strategy and online consumer behavior. Goo || ve years at Young & Rubicam, New York. Research Focus Consumer behavior in online environments, Internet of Things, and machine learning methods for understanding emergent consumer experiences. Google Scholar | Download CV (PDF) | Email Research Areas Asse || ing applications of flow theory to understand optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational s || nd optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational social science and machine learning methods. Digital Marketing Fo",,0,,,22
Dr. Harald Anderson,https://business.gwu.edu/harald-anderson,4,AI; Artificial Intelligence; Machine Learning; artificial intelligence,"tions, government agencies, and private firms. He specializes in financial crimes and fraud. Research interests include artificial intelligence applications for marketing, macroeconomics, and the history of scholarship. Education University of Toronto (Post-Doc) || y (PhD) George Mason University (MA) University of Kentucky (MA) College of William and Mary (BA) Select Courses Taught AI and ML Applications for Marketing Customer Relationship Management and Relational Databases Digital Marketing Analytics || hip Management and Relational Databases Digital Marketing Analytics Architecture of Online Marketing Areas of Expertise Artificial Intelligence Machine Learning Probabilistic Mathematics Economics and Econometrics Statistics History of Scholarship || ional Databases Digital Marketing Analytics Architecture of Online Marketing Areas of Expertise Artificial Intelligence Machine Learning Probabilistic Mathematics Economics and Econometrics Statistics History of Scholarship",,0,,,,0,,,4
Faith Bradley,https://business.gwu.edu/faith-bradley,5,Algorithm; Artificial Intelligence; Data Science; Machine Learning,"nces, and skills influence the adoption of new technologies. Her extensive teaching experience includes courses such as Machine Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Scien || luence the adoption of new technologies. Her extensive teaching experience includes courses such as Machine Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Science, and Model || e Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Science, and Modeling, Simulation & Game Theory. Dr. Bradley has taught at Columbia University, New York University, and the Ge || rginia Interment College Teaching Database Design and Application Web Applications Development Business Applications of Artificial Intelligence Introduction to Artificial Intelligence Awards Outstanding ISTM Faculty Award, The George Washington University School || se Design and Application Web Applications Development Business Applications of Artificial Intelligence Introduction to Artificial Intelligence Awards Outstanding ISTM Faculty Award, The George Washington University School of Business 2023 George Washington Event",,0,,,,0,,,5
George M. Jabbour,,0,,,,0,,,jabbour  CV 2025.pdf,1,Prediction,"e Journal  of Futures  Markets , Vol. 21, No. 11, pp.987 -1001,  2001   (co-authored with M. Kramin, S. Young)       • ""Prediction of Future Currency Exchange Rates From Current  Currency Futures Prices: The Case of GM and JY,"" The Journal  of  Futur",1
