Name,Item
Joel Gehman,"Gehman, J., Glaser, V.L. & Merritt, P. 2025. An Assemblage Perspective on Hybrid Agency: A Commentary on Raisch and Fomina’s “Combining Human and Artificial Intelligence.” Academy of Management Review. 50: 477–479. doi:10.5465/amr.2024.0126.**"
Joel Gehman,"Glaser, V.L., Sloan, J., & Gehman, J. 2024. Organizations as Algorithms: A New Metaphor for Advancing Management Theory. Journal of Management Studies. 61: 2303–2774. doi:10.1111/joms.13033."
Joel Gehman,"Glaser, V.L. & Gehman, J. 2024. Chatty Actors: Generative AI and the Reassembly of Agency in Qualitative Research. In M. Kulkarni, S. Mantere, E. Vaara, E. van den Broek, S. Pachidi, V.L. Glaser, J. Gehman, G. Petriglieri, D. Lindebaum, L.D. Cameron, H.A. Rahman, G. Islam, & M. Greenwood, The Future of Research in an Artificial-Intelligence Driven World. Journal of Management Inquiry. 33: 207–229. doi:10.1177/10564926231219622."
Joel Gehman,"Cornelissen, J., Höllerer, M., Boxenbaum, E., Faraj, S., & Gehman, J. 2024. Large Language Models and the Future of Organization Theory. Organization Theory. 5: 26317877241239056. doi:10.1177/26317877241239056."
Herman Aguinis,"Aguinis, H. in press. Method-driven theory advancements and AI implementation. Journal of International Business Studies."
Herman Aguinis,"Aguinis, H., Beltran, J. R., & Cope, A. 2024. How to use generative AI as a human resource management assistant. Organizational Dynamics, 53(1): 101029."
Cassin Dyson,Executive director of the career center Cassin Dyson uses AI for student cover letter writing.
Cassin Dyson,Executive director of the career center Cassin Dyson uses AI based comparison of resume to job qualifications.
Cassin Dyson,Executive director of the career center Cassin Dyson uses AI based case preparation.
Cassin Dyson,Executive director of the career center Cassin Dyson uses AI driven interview preparation strategies.
Gil Appel ,"AI Podcast; Two professors. One fast AI show. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch The Droid Duo — 30 minutes of practical AI: what works, what’s hype, what’s next. "
