name,summary,total_hits,fac_profile_url,fac_profile_num_hits,fac_profile_matches,fac_profile_snippets,per_site_url,per_site_num_hits,per_site_matches,per_site_snippets,cv_filename,cv_num_hits,cv_matches,cv_snippets,manual_num_hits,manual_matches,manual_snippets,manual_filename
Ayman El Tarabishy,"Ayman El Tarabishy's AI work was extracted from per_site.

Summary of per_site: Ayman El Tarabishy, affiliated with the George Washington University School of Business, has explored the transformative potential of artificial intelligence, particularly in the context of entrepreneurship. His work highlights the dual nature of AI, which can either dismantle entrepreneurial barriers or, conversely, create new ones through excessive regulation. Additionally, Tarabishy has emphasized the importance of formulating well-crafted questions to fully leverage the capabilities of generative AI technologies, such as ChatGPT, to unlock innovation.",15,,0,,,http://www.aymaneltarabishy.com/,15,AI; Artificial intelligence; Generative AI,"nt of Management at the George Washington University School of Business. Breaking News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barrier || Washington University School of Business. Breaking News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barriers or recreate them through over-regulation. Examini || t top-down governance, enables ecosystem success in technological disruption. The post Evoking Ecosystems in the Age of AI appeared first on ICSB | International Council for Small Business. Read More Asking good questions in the age of Genera || of AI appeared first on ICSB | International Council for Small Business. Read More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innov || More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innovative technologies like ChatGPT relies on asking well-formulated questions. It || Similarly, many organizations face a similar dilemma, failing to tap... Read More News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barrier || face a similar dilemma, failing to tap... Read More News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barriers or recreate them through over-r... Read More Aski || ity to remove entrepreneurial barriers or recreate them through over-r... Read More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innov || More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innovative technologies l... Read More The Importance of MSMEs in Malaysia and the || To dissect the story of entrepreneurship is to describ... Read More Latest Research Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innov || earch Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innovative technologies l... Read More Refocusing ESG: Empowering MSMEs Through Inn || s offers valuable insights and lessons for the world.... Read More Articles/Commentary Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barrier || lessons for the world.... Read More Articles/Commentary Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barriers or recreate them through over-r... Read More Aski || More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innovative technologies l... Read More Refocusing ESG: Empowering MSMEs Through Inn",,0,,,0,,,
Ben Bronner,"Ben Bronner's AI work was extracted from cv.

Summary of cv: Ben Bronner has been involved in the use of Artificial Intelligence in the classroom, as indicated by his participation in an ad hoc group of George Washington University faculty on January 18, 2023. Additionally, he has been associated with workshops related to grading collaboratively, which may involve AI applications.",1,,0,,,,0,,,bronner_cv_april_2024.pdf,1,Artificial Intelligence,"/22   Adapting and Remixing OER, 11/2/22   Adopting OER into Your Courseware Material, 9/28/22   Miscellaneous   Use of Artificial Intelligence in the Classroom. Ad hoc group of GW faculty, George  Washington University, 1/18/23   Workshop on Grading Collaborativ",0,,,
Cassin Dyson,"Cassin Dyson's AI work was extracted from manual.

Summary of manual: Cassin Dyson, the executive director of the career center, utilizes AI in several areas to assist students. These areas include AI for student cover letter writing, AI-based comparison of resumes to job qualifications, AI-based case preparation, and AI-driven interview preparation strategies.",4,,0,,,,0,,,,0,,,4,AI,Executive director of the career center Cassin Dyson uses AI for student cover letter writing. Executive director of the career center Cassin Dyson uses AI based comparison of resume to job qualifications. Executive director of the career center Cassin Dyson uses AI based case preparation. Executive director of the career center Cassin Dyson uses AI driven interview preparation strategies.,manual_entries.csv
Chukwuma Dim,"Chukwuma Dim's AI work was extracted from per_site.

Summary of per_site: Chukwuma Dim's research interests include the applications of machine learning and natural language processing in the field of asset pricing. His work is situated within the broader context of finance and management, focusing on empirical asset pricing and investor behavior.",2,,0,,,https://sites.google.com/view/chukwumadim/,2,machine learning; natural language processing,"Finance & Management. My research interests are in empirical asset pricing, investor behavior, and the applications of machine learning and natural language processing in asset pricing . You can contact me at : cdim@gwu.edu CV Twitter LinkedIn Google Site || . My research interests are in empirical asset pricing, investor behavior, and the applications of machine learning and natural language processing in asset pricing . You can contact me at : cdim@gwu.edu CV Twitter LinkedIn Google Sites Report abuse Page details Page",,0,,,0,,,
David Jacobs,"David Jacobs's AI work was extracted from cv.

Summary of cv: David Jacobs has contributed to the field of AI through his practitioner article titled “AI: Its Possibilities and Discontents,” which was published in Perspectives on Work in Fall 2024.",1,,0,,,,0,,,jacobscv25.pdf,1,AI,"992).  ""John Dunlop and the Quest for Consensus,"" The Academy of Management Review (July 1986). PRACTITIONER ARTICLES: “AI: Its Possibilities and Discontents,” Perspectives on Work (Fall 2024). “The Politicization of Catholic Social Teaching,",0,,,
Davide Sonzogni,"Davide Sonzogni's AI work was extracted from cv.

Summary of cv: Davide Sonzogni completed a certificate in Artificial Intelligence: Implications for Business Strategy from the Massachusetts Institute of Technology - Sloan School of Management in 2018.",1,,0,,,,0,,,davide_sonzogni_cv_august_2023.pdf,1,Artificial Intelligence,"EDUCATION   Massachusetts Institute of Technology - Sloan School of Management              Online   Certificate, Artificial Intelligence: Implications for Business Strategy           2018    George Washington University",0,,,
Denise Falchetti,"Denise Falchetti's AI work was extracted from cv.

Summary of cv: Denise Falchetti has been involved in AI-related educational activities, including participation in the RM-CARMA Consortium in June 2023 and the Teaching Entrepreneurship AI Summit in May 2023, both conducted online.",1,,0,,,,0,,,denise_falchetti_cv_2025_01_22.pdf,1,AI,partment (2022 – now)  EDUCATIONAL ACTIVITIES June 2023 RM-CARMA Consortium [online] May 2023 Teaching Entrepreneurship AI Summit [online],0,,,
Donna Hoffman,"Donna Hoffman's AI work was extracted from per_site, cv.

Summary of per_site: Donna Hoffman's research focuses on understanding consumer experiences with AI using conceptual, empirical, and computational approaches. Her work, which has been published in leading journals, investigates how AI transforms consumer experiences through computational social science and machine learning methods. Her research areas include digital marketing strategy, online consumer behavior, and the interaction between consumers and smart objects in connected environments, employing techniques such as topological data analysis, natural language processing, and visualization.

Summary of cv: Donna Hoffman's research interests include the consumer and smart object experience of AI, using assemblage theory and object-oriented ontology perspectives. She employs computational approaches, such as machine learning and natural language processing, to understand consumer-smart object interactions from IoT data. Her work, presented at various conferences, explores topics like object-oriented metaphorism, the impact of AI on consumer experience, and the use of machine learning for consumer behavior research, highlighting the opportunities and challenges in studying AI's impact on consumer behavior.",36,,0,,,http://postsocial.gwu.edu/,7,AI; artificial intelligence; machine learning; natural language processing,"research is focused on using conceptual, empirical and computational approaches to understand consumer experience with AI. Her work has been published in all of the field's top journals and enjoys wide impact with over 42,000 Google scholar || , USC, and UCSD. She was named a Distinguished Graduate Alumnus of UNC in 2002. Research Focus Consumer experience with AI using conceptual, computational, and empirical approaches. Digital marketing strategy and online consumer behavior. Goo || ve years at Young & Rubicam, New York. Research Focus Consumer behavior in online environments, Internet of Things, and machine learning methods for understanding emergent consumer experiences. Google Scholar | Download CV (PDF) | Email Research Areas Asse || ing applications of flow theory to understand optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational s || nd optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational social science and machine learning methods. Digital Marketing Fo || ence Investigating how artificial intelligence transforms consumer experiences through computational social science and machine learning methods. Digital Marketing Foundational research in web-based commerce, social media marketing, and digital consumer en || etween consumers and smart objects in connected environments. Computational Methods Applying topological data analysis, natural language processing, and visualization techniques to understand consumer behavior.",Donna%20Hoffman_CV_June_2020.pdf,29,AI; Artificial Intelligence; Machine Learning; NLP; machine learning,"Asymmetric Residual Maps for Market Structure Analysis.”  Research Interests  • Consumer and smart object experience of AI using assemblage theory and object-oriented ontology perspectives • Computational approaches (machine learning and NLP || t object experience of AI using assemblage theory and object-oriented ontology perspectives • Computational approaches (machine learning and NLP methods) for understanding consumer-smart object experience from IoT interaction data • Self-extension and self || f AI using assemblage theory and object-oriented ontology perspectives • Computational approaches (machine learning and NLP methods) for understanding consumer-smart object experience from IoT interaction data • Self-extension and self-expansi || in summer 2020.   3. Hoffman, D.L. and T.P. Novak, “Human-Centric versus Object-Oriented Perspectives on Perceptions of AI,” three studies completed, target: Journal of Consumer Research.  4. Hildebrand, C., D.L. Hoffman and T.P. Novak, “Dehu || Things, June 11. 2. Hoffman, D.L. and T.P. Novak (2020), “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” paper presented at the First Virtual ISMS Marketing Science Conference, Session SC06 – Artificial Intelligence 1, Jun || Mechanism for Understanding AI,” paper presented at the First Virtual ISMS Marketing Science Conference, Session SC06 – Artificial Intelligence 1, June 13. 3. Hoffman, D.L. and T.P. Novak (2020), “Object Oriented Metaphorism as a Mechanism for Understanding AI,” || gence 1, June 13. 3. Hoffman, D.L. and T.P. Novak (2020), “Object Oriented Metaphorism as a Mechanism for Understanding AI,” paper presented at the Winter AMA Academic Conference, San Diego, CA, February 13-16.  4. Novak, T.P. and D.L. Hoffma || February 13-16.  4. Novak, T.P. and D.L. Hoffman (2020), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” Keynote Address presented at the Affective Content Analysis (AffCon) Workshop, AAAI-20, New York City, Febru || City, February 7. 5. Hoffman, D.L. and T.P. Novak (2019), “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” Paper presented at the Psychology of Technology Institute “New Directions in Research on the Psychology of Technology || ne 2020      7. Hoffman, D.L. and T.P. Novak (2019), “Object-Oriented Anthropomorphism as a Mechanism for Understanding AI,” paper presented in the Special Session, “Rethinking Anthropomorphism: The Antecedents, Unexpected Consequences, and P || ctober 17-20.  8. Novak, Thomas and D.L. Hoffman (2019), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” paper presented in the Special Session, “Extracting Behavioral Insights from Big Data: Novel AI and NLP Appr || achine Learning Approach,” paper presented in the Special Session, “Extracting Behavioral Insights from Big Data: Novel AI and NLP Approaches,” ACR Fiftieth Anniversary Conference, Atlanta, Georgia, October 17-20.  9. Hoffman, D.L. and T.P. N || Learning Approach,” paper presented in the Special Session, “Extracting Behavioral Insights from Big Data: Novel AI and NLP Approaches,” ACR Fiftieth Anniversary Conference, Atlanta, Georgia, October 17-20.  9. Hoffman, D.L. and T.P. Novak (20 || , October 17-20.  9. Hoffman, D.L. and T.P. Novak (2019), “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” paper presented in the Symposium, “Rethinking Anthropomorphism: The Antecedents, Unexpected Consequences, and Potenti || , October 3-5.  10. Novak, T.P. and D.L. Hoffman (2019), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” paper presented at the 11th Triennial Invitational Choice Symposium, Cambridge, Maryland, May 30 – June 1. || itational Choice Symposium, Cambridge, Maryland, May 30 – June 1.  11. Hoffman, D.L. and Novak, T.P. (2019), “Impact of AI on Consumer Experience,” paper presented at the 11th Triennial Invitational Choice Symposium, Cambridge, Maryland, May || ennial Invitational Choice Symposium, Cambridge, Maryland, May 30 – June 1.  12. Hoffman, D.L. and Novak, T.P. (2019), “AI: Beyond Friend or Foe,” paper presented at the Theory + Practice in Marketing (TPM) Conference, Columbia, May 16-18.  1 || y, May 10-11.   14. Novak, T.P. and D.L. Hoffman (2019), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” paper presented at the GWSB Inaugural Conference on the Intelligence of Things, April 5.  15. Hoffman, D.L. || 2020      16. Hoffman, D.L. (2019), “Opportunities and Challenges in Using Computational Methods to Study the Impact of AI on Consumer Behavior,” paper presented in Special Session on Machine Learning for Consumer Behavior Research, Winter AM || s in Using Computational Methods to Study the Impact of AI on Consumer Behavior,” paper presented in Special Session on Machine Learning for Consumer Behavior Research, Winter AMA, Austin, TX, February 22-24.  17. Hoffman, D.L. (2019), “The Future of Omni- || ew Tech: Methodological Challenges and Solutions,” presentation in the Roundtable Special Session, “Trust in the Age of AI,” Association for Consumer Research, Dallas, TX, October 11-14.  19. Novak, T.P. and D.L. Hoffman (2018), “A Computatio || ber 11-14.  20. Hoffman, D.L. and T.P. Novak (2018), “Object-Oriented Anthropomorphism as a Mechanism for Understanding AI,” paper presented in the Special Session, Association for Consumer Research, Dallas, TX, October 11-14.  21. Novak, T.P || arketing in the Consumer Internet of Things, September 30, Washington, DC.  39. Hoffman, D.L. and T.P. Novak (2016), “A Machine Learning and Data-Driven Visualization Framework for Studying Emergent Experience in the Consumer IoT,” Paper presented at the M || ago, March 12-14.  Invited University Research Seminars   “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” Baruch College, Zicklin School of Business, New York City, November 1, 2019.  “Reifying the Possibility Space of IoT || in School of Business, New York City, November 1, 2019.  “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” Keynote, Voya Financial Colloquium: Innovation and Technology in Marketing, University of Connecticut, Septe || rton Joint Seminar, January 30, 1987.  Invited Industry and Government Seminars and Conferences  Hoffman, D.L. (2019), “AI and the Future of Marketing: From Efficiency to Experience,” Marketing Edge Board of Trustees Meeting, George Washingto || ng Edge Board of Trustees Meeting, George Washington University School of Business, October 10.  Hoffman, D.L. (2019), “AI and the Future of Retailing: From Efficiency to Experience,” New Insights on Retail Evolution from Top Universities, Sh || , Gies College of Business, University of Illinois, Ph.D. Expected 2021). Member. Dissertation topic : ""Me, Myself, and AI: The Impact of Artificial Intelligence on Marketing and the Self.""  Abishek Borah (Marketing, Marshall School of Busine || Business, University of Illinois, Ph.D. Expected 2021). Member. Dissertation topic : ""Me, Myself, and AI: The Impact of Artificial Intelligence on Marketing and the Self.""  Abishek Borah (Marketing, Marshall School of Business, USC, Ph.D. 2013. First placement :",0,,,
Faith Bradley,"Faith Bradley's AI work was extracted from fac_profile.

Summary of fac_profile: Faith Bradley's work in artificial intelligence includes teaching courses such as ""Business Applications of Artificial Intelligence"" and ""Introduction to Artificial Intelligence."" She has been recognized with the Outstanding ISTM Faculty Award at The George Washington University School of Business.",3,https://business.gwu.edu/faith-bradley,3,Artificial Intelligence; Machine Learning,"nces, and skills influence the adoption of new technologies. Her extensive teaching experience includes courses such as Machine Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Scien || rginia Interment College Teaching Database Design and Application Web Applications Development Business Applications of Artificial Intelligence Introduction to Artificial Intelligence Awards Outstanding ISTM Faculty Award, The George Washington University School || se Design and Application Web Applications Development Business Applications of Artificial Intelligence Introduction to Artificial Intelligence Awards Outstanding ISTM Faculty Award, The George Washington University School of Business 2023 George Washington Event",,0,,,,0,,,0,,,
Gil Appel,"Gil Appel's AI work was extracted from manual.

Summary of manual: Gil Appel, in collaboration with David Schweidel from Emory Goizueta, has launched an AI Podcast titled ""The Droid Duo."" This podcast, which features two professors, offers a 30-minute segment focused on practical AI, discussing what works, what is considered hype, and what the future may hold in the field of AI.",3,,0,,,,0,,,,0,,,3,AI,"AI Podcast; Two professors. One fast AI show. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch  AI Podcast; Two professors. One fast AI show. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch The Droid Duo — 30 minutes of practic ow. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch The Droid Duo — 30 minutes of practical AI: what works, what’s hype, what’s next.",manual_entries.csv
