Type,ID,Text
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",1,"acceptable use of it resources policy office of ethics, compliance, and risk the george washington university office of ethics, compliance, and risk report concern acceptable use of it resources policy policy summary the george washington university (hereinafter, “gw” or “the university”) provides information technology resources (“gw it resources”) to its community members to promote and advance teaching, learning, and research, and to provide related administrative"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",2,"its community members to promote and advance teaching, learning, and research, and to provide related administrative and operational support. authorized users are expected to be good stewards of gw it resources and to act in responsible manner. this policy establishes the acceptable use of gw it resources in furtherance of its academic, research, and operational missions. who is governed by this policy this policy applies"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",3,"of its academic, research, and operational missions. who is governed by this policy this policy applies to all university students, faculty and staff, and all other individuals and entities including, but not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors, and volunteers (collectively, “authorized users”). policy gw it resources are to be used in support of the university’s academic and research mission and daily"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",4,"resources are to be used in support of the university’s academic and research mission and daily operations. gw it resources shall be used in manner consistent with applicable laws, regulations, university codes, and policies, as well as in accordance with applicable contractual agreements, licenses, and terms of service. acceptable use gw it resources are to be used to conduct legitimate business of the university or"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",5,"use gw it resources are to be used to conduct legitimate business of the university or in furtherance of its educational mission, whether remote or on campus (e.g., approved research activities, academic instruction, scholarly activity, and business operations). reasonable incidental personal use of gw it resources is permitted if such use is consistent with the personal use of university resources policy and does not inappropriately"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",6,"such use is consistent with the personal use of university resources policy and does not inappropriately interfere with or reduce the hours worked by an employee, does not incur additional costs on behalf of the university, and does not constitute unacceptable use (as defined below). authorized users acknowledge that the university has the right to access accounts and electronic information under certain home policies find"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",7,"the university has the right to access accounts and electronic information under certain home policies find policy alphabetical policy listing acceptable use of it resources policy |ethics compliance reporting policies conflicts of interest commitment protection of minors about us 11/19/25, 5:19 am acceptable use of it resources policy office of ethics, compliance, and risk the george washington university 1/4 circumstances, in accordance with the university"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",8,"of ethics, compliance, and risk the george washington university 1/4 circumstances, in accordance with the university access to account and electronic information policy. additional information on personal use of university resources, including gw it resources, can be found in the personal use of university resources policy. gw students, and others residing in campus housing facilities, may also use gw wired and wireless networks for recreational"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",9,"others residing in campus housing facilities, may also use gw wired and wireless networks for recreational and personal purposes to the extent that such use does not constitute unacceptable use. unacceptable use while using gw it resources, authorized users are prohibited from engaging in unauthorized or illegal activities or in violation of university policy and codes that include, but are not limited to (collectively, “unacceptable"
"Acceptable Use of IT Resources Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",10,"in violation of university policy and codes that include, but are not limited to (collectively, “unacceptable use”): use that violates applicable federal, state, or local laws and regulations; use in connection with political campaigns inconsistent with the political activity policy; use for any activity that may jeopardize the university’s non-profit status; unauthorized use of gw accounts including gw email, access codes, devices, identification data, systems,"
