Type,ID,Text
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,1,communicating your genai expectations to your students libraries academic innovation libraries academic innovation gelman library: 24 hours complete hours info ask us communicating your genai expectations to your students many students feel uncertain about when and how they can use genai in their academic classes. the genai and teaching group (gait) created these guidelines for faculty considering how to communicate with students about the use
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,2,group (gait) created these guidelines for faculty considering how to communicate with students about the use of genai in academic tasks. providing clear and detailed instructions about allowed and prohibited uses reduces student anxiety and increases academic integrity. here are some simple steps to creating effective communications with students: 1. review this guide to determine your views on appropriate generative artificial intelligence (genai) use in
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,3,1. review this guide to determine your views on appropriate generative artificial intelligence (genai) use in academic classes. 2. update your syllabus to include: an honor code: clear statement of expectations for genai use can encourage academic integrity. thoughtful explanations of how your decisions about genai use support your learning goals for students and important values. time to discuss the ethics of genai use: what
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,4,learning goals for students and important values. time to discuss the ethics of genai use: what should students know to be prepared for advanced study or careers in your profession? for ideas review the values document included above. time to complete the work as intended: some students use genai when they feel rushed. space out manageable assignments to increase students’ confidence they can complete the
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,5,"when they feel rushed. space out manageable assignments to increase students’ confidence they can complete the work as instructed. while the library website is unaffected, the current cloudflare outage may interrupt web access to some software throughout the day. for example, the software used to schedule tutoring and review sessions for academic commons (penji) as well as other gwu sites and research databases may be"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,6,"sessions for academic commons (penji) as well as other gwu sites and research databases may be intermittently affected. thanks for your patience as we wait for this issue to be resolved. center for teaching excellence resources generative artificial intelligence (genai) libraries academic innovation ith lib ra ria 11/19/25, 5:56 am communicating your genai expectations to your students libraries academic innovation 1/4 3. if you are"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,7,"am communicating your genai expectations to your students libraries academic innovation 1/4 3. if you are allowing or requiring genai use: encourage metacognition by asking students to monitor how the use of genai influences their learning. provide guidelines that address common concerns with genai use: truth and accuracy: remind students to review output carefully for biased, misleading, outdated, or incorrect information data security and safety:"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,8,"students to review output carefully for biased, misleading, outdated, or incorrect information data security and safety: remind students that information shared with genai tool may not be private and may be used in ways they can’t control. consider providing checklist to support genai use that meets your expectations. if appropriate, consider offering alternate assignments or supports for students who have objections to using genai. approved"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,9,"appropriate, consider offering alternate assignments or supports for students who have objections to using genai. approved by the generative ai and teaching committee (gait) on 3/31/25. approved by the ept as resources for guidance to faculty on 5/2/2025. navigation center for teaching excellence about the center for teaching excellence (cte) programs special events resources course design making your course more accessible adapted from update your"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,10,"(cte) programs special events resources course design making your course more accessible adapted from update your course syllabus for chatgpt by ryan watkins. adapted from the mla student guide to ai literacy. adapted from the mla student guide to ai literacy. adapted from the aac&u student guide to artificial intelligence. adapted from the aac&u student guide to artificial intelligence. ith lib ra ria 11/19/25, 5:56"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,11,"intelligence. adapted from the aac&u student guide to artificial intelligence. ith lib ra ria 11/19/25, 5:56 am communicating your genai expectations to your students libraries academic innovation 2/4 example showcase teaching tips generative artificial intelligence (genai) teaching with generative ai deciding on appropriate use of genai in academic classes communicating your genai expectations to your students ways gw faculty are using genai services get research"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,12,"communicating your genai expectations to your students ways gw faculty are using genai services get research help course reserves open affordable course materials research instruction book/media requests 2130 street nw washington, dc 20052 gelman@gwu.edu ith lib ra ria 11/19/25, 5:56 am communicating your genai expectations to your students libraries academic innovation 3/4 mailto:gelman@gwu.edu my account contact gw libraries staff login campus advisories eo/nondiscrimination policy website"
Communicating Your GenAI Expectations to Your Students _ Libraries & Academic Innovation,13,"academic innovation 3/4 mailto:gelman@gwu.edu my account contact gw libraries staff login campus advisories eo/nondiscrimination policy website privacy notice contact gw accessibility terms of use copyright report barrier to accessibility ith lib ra ria 11/19/25, 5:56 am communicating your genai expectations to your students libraries academic innovation 4/4"
