Type,ID,Text
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",1,"cybersecurity risk policy office of ethics, compliance, and risk the george washington university office of ethics, compliance, and risk report concern cybersecurity risk policy policy summary managing cybersecurity risk is critical to maintaining the confidentiality, integrity, and availability of the university’s information technology resources (“gw it resources”). this policy outlines the george washington university’s (“gw” or “university”) responsibilities in assessing and managing cybersecurity risk and"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",2,"outlines the george washington university’s (“gw” or “university”) responsibilities in assessing and managing cybersecurity risk and authorized users’ (hereinafter defined) duty to protect gw it resources. who is governed by this policy this policy applies to all university students, faculty, staff, and all other individuals and entities including, but not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors, and volunteers (collectively, “authorized users”). policy"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",3,"not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors, and volunteers (collectively, “authorized users”). policy gw information technology (“gw it”) will assess the university’s cybersecurity risk and manage any identified risk for the purpose of eliminating or minimizing the likelihood and impact of threats and vulnerabilities to the greatest extent practical. gw it manages and mitigates cybersecurity risk by, among other things, establishing policies"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",4,"greatest extent practical. gw it manages and mitigates cybersecurity risk by, among other things, establishing policies and guidance on the use of gw it resources, instituting cybersecurity risk standards and procedural controls, and providing security awareness training for authorized users. any data stored or processed using gw it resources falls within the scope of this policy which is governed by the it cybersecurity risk management"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",5,"falls within the scope of this policy which is governed by the it cybersecurity risk management standard. the standard outlines requirements and processes for assessing and managing the cybersecurity risk associated with those gw it resources that collect, transmit, store, or process data used to accomplish university operations such as research, teaching, learning, and administrative support. gw it is responsible for detecting suspected or known"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",6,"as research, teaching, learning, and administrative support. gw it is responsible for detecting suspected or known security threats or emerging indications of compromised systems. gw it accomplishes this by evaluating the content of university systems, network behavior, and third-party technology products and services acquired by the university. gw it is also responsible for making decisions for network and cybersecurity defensive measures that protect the confidentiality,"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",7,"is also responsible for making decisions for network and cybersecurity defensive measures that protect the confidentiality, integrity, and availability of gw it resources. in addition to the responsibilities of gw it, authorized users play an important role in mitigating cybersecurity risk while using gw it resources both on campus and when accessing gw it resources remotely. authorized users are required to: comply with gw’s acceptable"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",8,"and when accessing gw it resources remotely. authorized users are required to: comply with gw’s acceptable use of it resources policy. comply with gw’s identity and access management policy and standards. complete assigned security awareness training. understand and observe their responsibilities related to their stewardship of data and services, including compliance with the university’s data classification and protection guide. home policies find policy alphabetical policy"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",9,"including compliance with the university’s data classification and protection guide. home policies find policy alphabetical policy listing cybersecurity risk policy |ethics compliance reporting policies conflicts of interest commitment protection of minors about us 12/7/25, 9:10 am cybersecurity risk policy office of ethics, compliance, and risk the george washington university 1/3 safeguard the confidentiality, integrity, and availability of the university’s information residing on or connected to"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",10,"1/3 safeguard the confidentiality, integrity, and availability of the university’s information residing on or connected to gw it resources. only use university-managed or approved devices to conduct gw activities, to the greatest extent possible. in circumstances when non-gw-managed device is used to conduct gw activities, follow the university’s data classification and protection guide. have all software or hardware to be used on the university network"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",11,"classification and protection guide. have all software or hardware to be used on the university network reviewed or assessed by gw it consistent with the procure to pay purchasing review process prior to the acquisition or installation. in addition, authorized users conducting research activities may unintentionally be at greater risk of exposure to malware or other vulnerabilities that may degrade gw it resources and put"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",12,"risk of exposure to malware or other vulnerabilities that may degrade gw it resources and put gw research information at risk for fraud, theft, or misappropriation. accordingly, research activities that involve use of gw it resources must be conducted in compliance with university policies, office of vice provost of research requirements, and applicable laws and regulations. this may include, but is not limited to, agreements"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",13,"research requirements, and applicable laws and regulations. this may include, but is not limited to, agreements and plans that outline data use and protection and obtaining the appropriate security reviews and approvals prior to project initiation. enforcement and penalties non-compliance with this policy may result in restriction and possible loss of access to gw it resources. non-compliance may also result in disciplinary action up to"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",14,"loss of access to gw it resources. non-compliance may also result in disciplinary action up to and including termination (employees) or suspension/expulsion (students). definitions authorized users: all university students, faculty, and staff. it also applies to all other individuals and entities granted use of gw it resources, including, but not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors, and volunteers. gw it resources: any"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",15,"not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors, and volunteers. gw it resources: any technology resource or equipment that supports one or more functional objectives of the university. this includes any system, service, or physical facility owned, contracted, or managed by the university to acquire, store, process, transmit, scan, receive, or dispose of data or information (e.g., software, computers, mobile phones, tablets, storage"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",16,"transmit, scan, receive, or dispose of data or information (e.g., software, computers, mobile phones, tablets, storage devices necessary for security and surveillance). related information acceptable use of it resources policy gw it cybersecurity risk management standards procurement policy data classification and protection guide privacy of personal information policy privacy of student records records management policy contacts contact phone number email address gw information security 202-994-4948"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",17,"of student records records management policy contacts contact phone number email address gw information security 202-994-4948 infosec@gwu.edu 12/7/25, 9:10 am cybersecurity risk policy office of ethics, compliance, and risk the george washington university 2/3 mailto:infosec@gwu.edu responsible university official: vice provost for libraries and information technology responsible office: gw information technology origination date: october 18, 2023 last material change: n/a next scheduled review: august 2025 to"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",18,"technology origination date: october 18, 2023 last material change: n/a next scheduled review: august 2025 to provide feedback on this policy, please contact the responsible office(s) listed above or the office of ethics, compliance, and risk. more information describing university policies is outlined in the university policy principles. noncompliance with this policy can be reported through this website. office of ethics, compliance, and risk email"
"Cybersecurity Risk Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",19,"with this policy can be reported through this website. office of ethics, compliance, and risk email the office report concern call the office campus advisories eo/nondiscrimination policy website privacy notice contact gw accessibility terms of use copyright report barrier to accessibility 12/7/25, 9:10 am cybersecurity risk policy office of ethics, compliance, and risk the george washington university 3/3 mailto:comply@gwu.edu"
