Type,ID,Text
Data Classification Guide _ GW Information Technology _ The George Washington University,1,"data classification guide gw information technology the george washington university information technology get help explore tools services tools services by category administrative and business business capability and process automation data, reporting, and analytics data management business intelligence services data integration data lake data governance data reporting institutional data data governance center data classification protection data classification guide data protection guide data quality data stewardship data"
Data Classification Guide _ GW Information Technology _ The George Washington University,2,governance center data classification protection data classification guide data protection guide data quality data stewardship data sharing data awareness financial and procurement systems human resource systems student information systems communication and collaboration desktop and mobile computing it professional services information security infrastructure data classification guide data classification is the means used to define and categorize files and critical business information based on the data’s level
Data Classification Guide _ GW Information Technology _ The George Washington University,3,"means used to define and categorize files and critical business information based on the data’s level of sensitivity, value and criticality, including the scope in which the data can be shared. gw institutional data classification levels are regulated, home explore tools services tools services by category administrative and business data, reporting, and analytics data management data governance data classification protection data classification guide |get started"
Data Classification Guide _ GW Information Technology _ The George Washington University,4,"data, reporting, and analytics data management data governance data classification protection data classification guide |get started support security academic technology explore tools services gw status about 11/19/25, 5:32 am data classification guide gw information technology the george washington university 1/4 research teaching and learning for faculty for staff for students for researchers for alumni for affiliates for visitors restricted and public. classification level description regulated"
Data Classification Guide _ GW Information Technology _ The George Washington University,5,"students for researchers for alumni for affiliates for visitors restricted and public. classification level description regulated regulated data is information that is protected by local, national, or international statute or regulation mandating certain restrictions. regulated information constitutes an area of critical concern because of the severe risk to the university, its affiliates and to individuals, should information be inappropriately accessed, altered, disclosed or destroyed. regulated"
Data Classification Guide _ GW Information Technology _ The George Washington University,6,"university, its affiliates and to individuals, should information be inappropriately accessed, altered, disclosed or destroyed. regulated information requires strict control, very limited access and disclosure, which may be subject to legal restrictions. access to regulated data must be limited to authorized university employees (staff and faculty) with valid business need. where access to regulated data has been authorized, use of such data shall be limited"
Data Classification Guide _ GW Information Technology _ The George Washington University,7,"need. where access to regulated data has been authorized, use of such data shall be limited to the purpose required to perform university business. authorized users must respect the confidentiality and privacy of individuals whose regulated information they access, observe ethical restrictions that apply to the information they access, and abide by applicable laws and policies with respect to accessing, using, or disclosing information. examples"
Data Classification Guide _ GW Information Technology _ The George Washington University,8,"and abide by applicable laws and policies with respect to accessing, using, or disclosing information. examples of regulated data include: student academic and financial records, regulated by the family educational rights and privacy act (ferpa). government-issued identification numbers, including social security numbers, driver license numbers, and passport numbers. individuals financial account numbers, including credit card numbers and bank account numbers. data, information, or technical specifications"
Data Classification Guide _ GW Information Technology _ The George Washington University,9,"financial account numbers, including credit card numbers and bank account numbers. data, information, or technical specifications not in the public domain that are regulated by export control laws, excluding technology or software that arises during, or results from, fundamental research under section 734.8 of the export administration regulations (ear). data owners in partnership with their appointed data stewards are responsible for implementing appropriate managerial, operational,"
Data Classification Guide _ GW Information Technology _ The George Washington University,10,"data owners in partnership with their appointed data stewards are responsible for implementing appropriate managerial, operational, physical, and role-based controls. consult with the gw data governance team and gw information technology, for guidance or questions regarding access to, use of, transmission of, and disposal of regulated information (data protection guide) restricted restricted data is information that is not generally available to the public, but deemed"
Data Classification Guide _ GW Information Technology _ The George Washington University,11,"guide) restricted restricted data is information that is not generally available to the public, but deemed confidential due to university policies, contracts, regulations or due to proprietary considerations. access to restricted data must be limited to appropriate university faculty, staff, students, or other authorized users with valid business need. this information must be protected from unauthorized access, use, or disclosure. if disclosed, altered or destroyed,"
Data Classification Guide _ GW Information Technology _ The George Washington University,12,"this information must be protected from unauthorized access, use, or disclosure. if disclosed, altered or destroyed, restricted data could cause moderate adverse impact to the individual, university or its affiliates. examples of restricted data include: payroll and tax information, performance appraisals legal records and contracts; general ledger data, facilities records internal directory information 11/19/25, 5:32 am data classification guide gw information technology the george washington"
Data Classification Guide _ GW Information Technology _ The George Washington University,13,"records internal directory information 11/19/25, 5:32 am data classification guide gw information technology the george washington university 2/4 classification level description public public data is information that can be freely used, reused and redistributed by anyone with no existing local, national or international legal restrictions on access or usage. security controls are required to protect public data, against unauthorized modification or destruction. if altered or"
Data Classification Guide _ GW Information Technology _ The George Washington University,14,"security controls are required to protect public data, against unauthorized modification or destruction. if altered or destroyed, public data would cause little or no adverse impact to the university, its affiliates, or the individual. example of public data include: announcements and press releases public event information public directories and maps view examples of regulated and restricted data types. submit request ithelp@gwu.edu view my tickets reset"
Data Classification Guide _ GW Information Technology _ The George Washington University,15,"maps view examples of regulated and restricted data types. submit request ithelp@gwu.edu view my tickets reset password classroom support classroom search phone 24 hours days week walk-in walk-in support centers knowledge base explore our knowledge base for how-to articles and guides. it help academic center washington, dc 20052 ithelp@gwu.edu 11/19/25, 5:32 am data classification guide gw information technology the george washington university 3/4 mailto:ithelp@gwu.edu mailto:ithelp@gwu.edu"
Data Classification Guide _ GW Information Technology _ The George Washington University,16,"11/19/25, 5:32 am data classification guide gw information technology the george washington university 3/4 mailto:ithelp@gwu.edu mailto:ithelp@gwu.edu campus advisories eo/nondiscrimination policy website privacy notice contact gw accessibility terms of use copyright report barrier to accessibility 11/19/25, 5:32 am data classification guide gw information technology the george washington university 4/4"
