Type,ID,Text
Data Protection Guide _ GW Information Technology _ The George Washington University,1,"data protection guide gw information technology the george washington university information technology get help explore tools services tools services by category administrative and business business capability and process automation data, reporting, and analytics data management business intelligence services data integration data lake data governance data reporting institutional data data governance center data classification protection data classification guide data protection guide data quality data stewardship data"
Data Protection Guide _ GW Information Technology _ The George Washington University,2,"governance center data classification protection data classification guide data protection guide data quality data stewardship data sharing data awareness financial and procurement systems human resource systems student information systems communication and collaboration desktop and mobile computing it professional services information security infrastructure data protection guide protecting gw institutional data from unauthorized access or use is critical to maintaining the confidentiality, integrity, and availability of all"
Data Protection Guide _ GW Information Technology _ The George Washington University,3,"from unauthorized access or use is critical to maintaining the confidentiality, integrity, and availability of all data stored, processed, printed, and/or transmitted by faculty, staff and, where applicable, third parties. throughout its lifecycle, institutional data must be protected in manner that is consistent with contractual or legal requirements. additionally, data protection measures must be reasonable and appropriate for the classification level. for example, document that"
Data Protection Guide _ GW Information Technology _ The George Washington University,4,"data protection measures must be reasonable and appropriate for the classification level. for example, document that contains regulated and public information must be managed and protected in accordance with requirements for regulated information. this guide outlines data protection measures for gw institutional data. when procuring software or third-party services that will involve access to or use of institutional data, faculty and staff are required to"
Data Protection Guide _ GW Information Technology _ The George Washington University,5,"that will involve access to or use of institutional data, faculty and staff are required to follow gw’s procurement process to ensure compliance with gw privacy and security protocols. view physical security best practices. data category risk level regulated high risk restricted medium risk public low risk network all network traffic must be encrypted in transit using at least tls v1.1.(tls v1.2 is strongly encouraged)."
Data Protection Guide _ GW Information Technology _ The George Washington University,6,"network traffic must be encrypted in transit using at least tls v1.1.(tls v1.2 is strongly encouraged). it’s always preferable to use the strongest cipher available when transmitting regulated information, especially when transmitting to third party. all network traffic must be encrypted in transit using at least tls v1.1.(tls v1.2 is strongly encouraged). no limitations workstations or mobile devices gw-owned or approved (desktop, laptop, phone, tablet)"
Data Protection Guide _ GW Information Technology _ The George Washington University,7,"is strongly encouraged). no limitations workstations or mobile devices gw-owned or approved (desktop, laptop, phone, tablet) regulated data may be accessed and processed using gw-owned or approved workstations or mobile devices (such devices are configured and managed by the university and must be encrypted). the following security controls must be in place: strong password encryption remote wiping capability registered and managed by the gw it"
Data Protection Guide _ GW Information Technology _ The George Washington University,8,be in place: strong password encryption remote wiping capability registered and managed by the gw it mobile device management service. restricted data may be be accessed and processed using gw owned or approved workstations or mobile devices (such devices are configured and managed by the university and must be encrypted). the following security controls must be in place: strong password encryption remote wiping capability registered
Data Protection Guide _ GW Information Technology _ The George Washington University,9,"encrypted). the following security controls must be in place: strong password encryption remote wiping capability registered and managed by the gw it mobile device management service. no limitations home explore tools services tools services by category administrative and business data, reporting, and analytics data management data governance data classification protection data protection guide |get started support security academic technology explore tools services gw status about"
Data Protection Guide _ GW Information Technology _ The George Washington University,10,"protection data protection guide |get started support security academic technology explore tools services gw status about 12/7/25, 9:48 am data protection guide gw information technology the george washington university 1/7 research teaching and learning for faculty for staff for students for researchers for alumni for affiliates for visitors data category risk level regulated high risk restricted medium risk public low risk personally owned devices (desktop,"
Data Protection Guide _ GW Information Technology _ The George Washington University,11,"category risk level regulated high risk restricted medium risk public low risk personally owned devices (desktop, laptop, phone, tablet) regulated information may not be downloaded, stored or synchronized on personally owned workstations or mobile devices. gw storage systems approved for regulated information may be accessed but not installed. requirements for accessing regulated information from personally owned workstations or mobile devices are: full disk encryption (fde)"
Data Protection Guide _ GW Information Technology _ The George Washington University,12,for accessing regulated information from personally owned workstations or mobile devices are: full disk encryption (fde) use of vpn (use the gw vpn when working remotely and accessing regulated data.) must be password protected anti-virus anti- spyware software must be active and maintained up to date updates for all installed software should be installed within reasonable period firmware and driver updates should be installed within
Data Protection Guide _ GW Information Technology _ The George Washington University,13,"installed software should be installed within reasonable period firmware and driver updates should be installed within reasonable period restricted information may not be downloaded, stored or synchronized on personally owned workstations or mobile devices. gw storage systems approved for restricted information may be accessed but not installed. requirements for accessing restricted information from personally owned workstations or mobile devices are: full disk encryption (fde) use"
