Type,ID,Text
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",1,"identity and access management policy office of ethics, compliance, and risk the george washington university office of ethics, compliance, and risk report concern identity and access management policy policy summary the george washington university (hereinafter, “gw” or “university”) provides information technology resources (“gw it resources”) to its community members to promote and advance teaching, learning, research, and administrative support. this policy establishes the issuance, maintenance,"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",2,"to promote and advance teaching, learning, research, and administrative support. this policy establishes the issuance, maintenance, and use of digital identities to safeguard the confidentiality, availability, and integrity of gw it resources. who is governed by this policy this policy applies to all university students, faculty and staff and all other individuals and entities including, but not limited to, contractors, temporary employees, sponsored researchers, affiliates,"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",3,"all other individuals and entities including, but not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors, and volunteers (collectively, “authorized users”). home policies find policy alphabetical policy listing identity and access management policy |ethics compliance reporting policies conflicts of interest commitment protection of minors about us 12/7/25, 9:17 am identity and access management policy office of ethics, compliance, and risk the george washington university"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",4,"am identity and access management policy office of ethics, compliance, and risk the george washington university 1/3 policy authorized users shall be provided unique identifier (e.g., gwid) at the point of joining the gw community. gw’s unique identifier serves as partial confirmation of an account owner’s identity and is part of the authorized user’s digital identity. the authorized user’s digital identity will remain active until"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",5,"part of the authorized user’s digital identity. the authorized user’s digital identity will remain active until such time the user’s relationship with gw has concluded or access to gw it resources is no longer required. the process, procedures, roles, and responsibilities related to digital identity are governed by the gw it’s identity and access management standards. any requests and decisions related to accessing gw it"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",6,"gw it’s identity and access management standards. any requests and decisions related to accessing gw it resources via digital identity shall be made in accordance with the identity and access management standards, and the university access to accounts and electronic information policy. all authorized users associated with gw are responsible for safeguarding their assigned digital identity from unauthorized use by complying with the acceptable use"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",7,"responsible for safeguarding their assigned digital identity from unauthorized use by complying with the acceptable use of it resources policy, cybersecurity risk policy, and identity and access management standards. to mitigate the university’s cybersecurity risk, access to gw it resources shall be based on an authorized user’s position or function. physical access to gw campus buildings and facilities are addressed in the physical access policy."
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",8,"function. physical access to gw campus buildings and facilities are addressed in the physical access policy. definitions authorized users: all university students, faculty and staff. it also applies to all other individuals and entities granted use of gw it resources, including, but not limited to, contractors, temporary employees, sponsored researchers, affiliates, visitors and volunteers. digital identity: digital identity is associated to unique identifier that is"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",9,"researchers, affiliates, visitors and volunteers. digital identity: digital identity is associated to unique identifier that is specific to each authorized user who has an active relationship with the university, and can consist of multiple unique attributes, accounts, credentials, and entitlements associated with an individual. gw identification (gwid): gwid is an alpha-numeric value used to identify an authorized user within gws administrative systems and is required"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",10,"an alpha-numeric value used to identify an authorized user within gws administrative systems and is required to access gw it resources. gwid is the letter followed by an 8-digit number. gw it resources: any technology resource or equipment that supports one or more functional objectives of the university. this includes any system, service or physical facility owned, contracted, or managed by the university to acquire,"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",11,"includes any system, service or physical facility owned, contracted, or managed by the university to acquire, store, process, transmit, scan, receive, or dispose of data or information (e.g., software, computers, mobile phones, tablets, storage devices necessary for security and surveillance). related information acceptable use of it resources policy cybersecurity risk policy identity and access management standards physical access policy contacts contact phone number email address"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",12,"risk policy identity and access management standards physical access policy contacts contact phone number email address gw information technology 202-994-4948 ithelp@gwu.edu 12/7/25, 9:17 am identity and access management policy office of ethics, compliance, and risk the george washington university 2/3 mailto:ithelp@gwu.edu responsible university official: vice provost for libraries and information technology responsible office: gw information technology origination date: october 18, 2023 last material change: n/a"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",13,"information technology responsible office: gw information technology origination date: october 18, 2023 last material change: n/a next scheduled review: august 2025 to provide feedback on this policy, please contact the responsible office(s) listed above or the office of ethics, compliance, and risk. more information describing university policies is outlined in the university policy principles. noncompliance with this policy can be reported through this website. office"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",14,"in the university policy principles. noncompliance with this policy can be reported through this website. office of ethics, compliance, and risk email the office report concern call the office campus advisories eo/nondiscrimination policy website privacy notice contact gw accessibility terms of use copyright report barrier to accessibility 12/7/25, 9:17 am identity and access management policy office of ethics, compliance, and risk the george washington university"
"Identity and Access Management Policy _ Office of Ethics, Compliance, and Risk _ The George Washington University",15,"am identity and access management policy office of ethics, compliance, and risk the george washington university 3/3 mailto:comply@gwu.edu"
