Type,ID,Text
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,1,"privacy considerations when using virtual meeting and collaboration platforms gw privacy office the george washington university website privacy notice contact us gw privacy office report data incident privacy considerations when using virtual meeting and collaboration platforms to ensure the protection of personally identifiable information and to meet privacy regulations requirements, special care needs to be taken when using virtual meeting and collaboration platforms (“virtual tools"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,2,"requirements, special care needs to be taken when using virtual meeting and collaboration platforms (“virtual tools and technologies”). the following guidance is offered to you by the gw privacy office, in collaboration with gw it and it aims to assist in minimizing the risk of accidental personal information disclosure, while using virtual tools and technologies. faculty and staff should only use virtual tools and technologies"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,3,"while using virtual tools and technologies. faculty and staff should only use virtual tools and technologies that have university approved contracts, as they are privacy compliant (through appropriate privacy terms and conditions) and configured with adequate security and privacy protections. to protect university non-public information, virtual tools and technologies should be integrated with gw single-sign on or two-factor authentication, as well as have the capability"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,4,"should be integrated with gw single-sign on or two-factor authentication, as well as have the capability for event- specific password protection, encryption and attendance control. in absence of contract, virtual tools or technologies should not be used for any university activity where non-public information will be shared. information on available university approved virtual tools and technologies can be found on the gw it web conferencing"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,5,"available university approved virtual tools and technologies can be found on the gw it web conferencing page. additionally, virtual training and personalized guidance on tools and best practices for virtual learning can be found on the tools for instructional continuity page. guidelines and best practices to minimize risk of disclosure or breach of non-public data, these guidelines and best practices apply to virtual tools and"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,6,"disclosure or breach of non-public data, these guidelines and best practices apply to virtual tools and technologies for administrative operations and virtual learning. both the organizer (host) and participants should be aware of the privacy risks and exposures that exist when facilitating and participating in online meetings using virtual tools and technologies. be familiar with configurations and settings that minimize privacy risks associated with the"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,7,"tools and technologies. be familiar with configurations and settings that minimize privacy risks associated with the use of virtual tools and technologies, such as the difference between public and non-public virtual meeting rooms: non-public meeting room: if the virtual event will contain content that is sensitive or includes any personal identifiable information (pii or phi), non-public meeting room should be used. non-public meeting room is"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,8,"personal identifiable information (pii or phi), non-public meeting room should be used. non-public meeting room is one where one-time password or access code for entry into the meeting room is required; end to end encryption is strongly recommended. all available encryption and privacy modes should always be enabled. do not record the virtual meeting unless it’s absolutely necessary (e.g. for purposes of records retention or"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,9,"not record the virtual meeting unless it’s absolutely necessary (e.g. for purposes of records retention or asynchronous learning.) if the meeting is recorded for asynchronous learning purposes, the recording must not be shared outside of the class roster without student consent. public meeting room: if the content will not include any personal identifiable information (deidentified pii or phi or general administrative or academic content), public"
Privacy Considerations when using Virtual Meeting and Collaboration Platforms _ GW Privacy Office _ The George Washington University,10,"include any personal identifiable information (deidentified pii or phi or general administrative or academic content), public meeting room can be used. for example, webex personal room is public meeting room unless password has been enabled. the following guidance applies to both non-public and public meeting rooms: use green room or waiting room to allow the meeting to begin only after the host joins. carefully control"
