Type,ID,Text
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,1,"privacy guidance for use of artificial intelligence gw privacy office the george washington university website privacy notice contact us gw privacy office report data incident privacy guidance for use of artificial intelligence artificial intelligence (ai) is set of technologies that are based primarily on machine learning and deep learning and are used for data analytics, predictions and forecasting, natural language processing, intelligent data retrieval, and"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,2,"and are used for data analytics, predictions and forecasting, natural language processing, intelligent data retrieval, and more. artificial intelligence can also assist with making recommendations or decisions, and solving complex problems. ai that can produce new content and ideas, including conversations, stories, images, videos, and music is called generative ai or genai. for the purpose of this guidance, artificial intelligence technology will be referred as"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,3,"ai or genai. for the purpose of this guidance, artificial intelligence technology will be referred as “ai tools”. use of ai tools present significant benefits. these powerful tools can assist with our daily operations, such as automating processes, increasing productivity, providing advanced data analysis and forecasting. but use of ai also comes with privacy considerations and inherent risks. ai tools that are trained with personal"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,4,"ai also comes with privacy considerations and inherent risks. ai tools that are trained with personal data, can suggest information about individuals that is not based on the information submitted by the user of the tool, which increases the privacy risks and concerns, even when the original data provided to the ai tool was considered non-sensitive. for example, when generative ai model is trained on"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,5,"to the ai tool was considered non-sensitive. for example, when generative ai model is trained on large dataset of personal photos, it could potentially be used to create realistic but unauthorized images of individuals, raising privacy concerns. staff and faculty must be vigilant about the data they enter into any ai tools, and must be certain that the use of ai tools will not, in"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,6,"any ai tools, and must be certain that the use of ai tools will not, in any way, violate gw’s privacy, data protection and security policies and requirements. before using an ai tool that accesses personal information of individuals, users should carefully consider whether it is necessary to include this information and whether the desired outcome can be achieved without personal details. maximum privacy and"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,7,"this information and whether the desired outcome can be achieved without personal details. maximum privacy and security controls must always be employed to protect personally identifiable information (pii). accordingly, when pii will be entered into an ai tool, the ai tool should be set with privacy enhancing settings to ensure that the pii is not retained by the ai model and also, when possible, the"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,8,"ensure that the pii is not retained by the ai model and also, when possible, the pii should be anonymized. ai tools used at gw must not use personal information of our community members for training their models. the following guidance is intended to govern the administrative use of ai tools across the university and in all operations. any implementation of artificial intelligence is subject"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,9,"ai tools across the university and in all operations. any implementation of artificial intelligence is subject to applicable university policies and standards, such as the procurement contract review and approval process when purchasing information technology that includes ai capabilities. when necessary to leverage the use of ai tools that will process pii, the ai tool must be reviewed and approved, by the gw privacy office"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,10,"will process pii, the ai tool must be reviewed and approved, by the gw privacy office and the office of general counsel. before considering the use of an ai tool that would require entering personally identifiable information, make sure to obtain an authorization to operate (ato) by gw information security. the use of un-approved ai tools for university operations and purposes will be considered violation"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,11,"security. the use of un-approved ai tools for university operations and purposes will be considered violation of university policies reviews and approvals home privacy guidance for use of artificial intelligence |our mission privacy at gw privacy notice privacy laws ferpa privacy policies privacy training data privacy month 12/7/25, 11:07 am privacy guidance for use of artificial intelligence gw privacy office the george washington university 1/3"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,12,"am privacy guidance for use of artificial intelligence gw privacy office the george washington university 1/3 related to privacy and data protection. list of ai tools approved for use within the gw community can be found on this page: artificial intelligence (ai) evaluation status. additionally, you can also explore tools and resources with ai capabilities, available at gw to enhance teaching, learning, research, and administrative"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,13,"tools and resources with ai capabilities, available at gw to enhance teaching, learning, research, and administrative tasks. use of ai must comply with the following requirements, under university privacy policies: transparency: ai systems intended to directly interact with individuals should be designed to inform users that they are interacting with an ai system, unless this is obvious to the individual from the context. chatbot, for"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,14,"with an ai system, unless this is obvious to the individual from the context. chatbot, for example, should be designed to notify users that it is chatbot. another example is providing notice to individuals before enabling zoomai companion and/or webex assistant. data minimization: if the use of ai involves access to personal data, the principle of data minimization should be applied rigorously. with respect to"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,15,"access to personal data, the principle of data minimization should be applied rigorously. with respect to generative ai tools, it is recommended that they operate in ""walled garden"" regime, having limited access to university data and limited ability to sharing university data. only the minimum amount of personal information required should be used to achieve an objective. be especially careful with sensitive data when using"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,16,"required should be used to achieve an objective. be especially careful with sensitive data when using ai tools and consider whether the data you are using will compromise regulatory, contractual, or legal obligations. for example, in social media, when analyzing user behavior for targeted advertising, an ai system could use anonymized demographic data and aggregated interaction patterns rather than individual user profiles. another example would"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,17,"use anonymized demographic data and aggregated interaction patterns rather than individual user profiles. another example would be when, in research, an ai tool is analyzing patient data to verify diagnosis, it should only use anonymized medical records, focusing on relevant health indicators instead of storing full patient histories. data security: ai tools may not be encrypted and present variety of data security risks. only ai"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,18,security: ai tools may not be encrypted and present variety of data security risks. only ai tools that received an authorization to operate (ato) from gw information security may be used for university purposes and with university data. configure approved ai tools for privacy: ai tools often offer privacy-enhancing options that users should enable when the use of ai involves entering personal information of gw
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,19,"options that users should enable when the use of ai involves entering personal information of gw community members. for example, disabling the “automatic start feature” of zoomai companion, to allow time for providing notice to meeting attendees and obtain their consent for the use of this ai tool. consult with gwit to learn more about privacy enhancing features of university approved ai technologies. generative ai"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,20,"with gwit to learn more about privacy enhancing features of university approved ai technologies. generative ai tools should not be used alone (without human intervention) in any decision making processes, when the outcomes (decisions) impact our community members. that is because ai tools can inadvertently learn and perpetuate unconscious or conscious biases present in the training data, which can lead to discriminatory outcomes, affecting privacy"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,21,"or conscious biases present in the training data, which can lead to discriminatory outcomes, affecting privacy and fairness. for example, amazon famously built its own ai hiring screening tool only to discover that it was biased against female hires. any potential use of ai tools for surveillance and monitoring purposes requires extensive reviews and approval at the highest level. contact the privacy office for further"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,22,"purposes requires extensive reviews and approval at the highest level. contact the privacy office for further guidance. gw privacy of personal information policy contract review and approval process data sharing privacy requirements privacy considerations when using virtual meeting and collaboration platforms cybersecurity risk assessments privacy requirements related policies and guidance gw privacy office 12/7/25, 11:07 am privacy guidance for use of artificial intelligence gw privacy"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,23,"guidance gw privacy office 12/7/25, 11:07 am privacy guidance for use of artificial intelligence gw privacy office the george washington university 2/3 email the privacy office report data incident data subject requests campus advisories eo/nondiscrimination policy website privacy notice contact gw accessibility terms of use copyright report barrier to accessibility 12/7/25, 11:07 am privacy guidance for use of artificial intelligence gw privacy office the george"
Privacy Guidance for use of Artificial Intelligence _ GW Privacy Office _ The George Washington University,24,"accessibility 12/7/25, 11:07 am privacy guidance for use of artificial intelligence gw privacy office the george washington university 3/3"
