Type,ID,Text
Teaching with Generative AI _ Libraries & Academic Innovation,1,"teaching with generative ai libraries academic innovation libraries academic innovation gelman library: 24 hours complete hours info ask us teaching with generative ai generative ai (genai) tools invite us to take step back and examine our pedagogy with fresh eyes. even as the capabilities of these tools expand and change, the principles of good, evidence-informed pedagogy continue to apply. we realize everyone is in different"
Teaching with Generative AI _ Libraries & Academic Innovation,2,"change, the principles of good, evidence-informed pedagogy continue to apply. we realize everyone is in different place on their journey of learning what genai tools can do and considering whether or how to integrate them into their teaching. wherever you are, we encourage you to be intentional and reflective about your goals, to communicate your expectations around genai use clearly to students, and to avoid"
Teaching with Generative AI _ Libraries & Academic Innovation,3,"about your goals, to communicate your expectations around genai use clearly to students, and to avoid attempting to police perceived student misuse. increasingly, ai is integrated into the programs and apps students use to write and edit. moreover, ai detection tools have been shown to be deeply flawed, flagging human-written text as ai-generated and vice-versa. if you have never experimented with genai tool, we recommend"
Teaching with Generative AI _ Libraries & Academic Innovation,4,"human-written text as ai-generated and vice-versa. if you have never experimented with genai tool, we recommend trying some out. different tools have different strengths. consider trying microsoft copilot (gw has an enterprise license), chatgpt, claude, or google gemini for generating texts, and adobe firefly or dall-e for generating images. ask some of these tools to complete assignments you currently use in your classes to see"
Teaching with Generative AI _ Libraries & Academic Innovation,5,"ask some of these tools to complete assignments you currently use in your classes to see what they can and cannot do well. do not input any sensitive data, including student work (which may be ferpa violation). after reviewing the tips below, consider joining us for workshop. the center for teaching excellence regularly holds workshops that address teaching with genai. you can see this semester’s"
Teaching with Generative AI _ Libraries & Academic Innovation,6,"for teaching excellence regularly holds workshops that address teaching with genai. you can see this semester’s full schedule on the lai events page. we also can offer custom workshop for your department or other unit. please email us at teaching@gwu.edu to discuss. examine your objectives and purpose where you choose to integrate genai tools into your classroom will depend on your discipline, your course, and"
Teaching with Generative AI _ Libraries & Academic Innovation,7,"choose to integrate genai tools into your classroom will depend on your discipline, your course, and your course’s place in curriculum. considering your course objectives can help you clarify where you want students to use genai tools and where you want them to do their own intellectual work. where does the learning happen, and where can genai tools help students get to where the learning"
Teaching with Generative AI _ Libraries & Academic Innovation,8,"does the learning happen, and where can genai tools help students get to where the learning happens? center for teaching excellence resources generative artificial intelligence (genai) libraries academic innovation ith lib ra ria 12/7/25, 11:08 am teaching with generative ai libraries academic innovation 1/7 mailto:teaching@gwu.edu consider the skills and knowledge your students already have and those they will need outside of your classroom. how can"
Teaching with Generative AI _ Libraries & Academic Innovation,9,"knowledge your students already have and those they will need outside of your classroom. how can you convey the value of those things to your students to motivate them? do your students have the necessary expertise yet to judge the output of genai tool? have syllabus policy after considering your course objectives, write clear policy for your syllabus outlining what genai uses are allowed or"
Teaching with Generative AI _ Libraries & Academic Innovation,10,"your course objectives, write clear policy for your syllabus outlining what genai uses are allowed or disallowed and when. different assignments may have different policies, so remind students of your policy frequently. gw faculty member ryan watkins has developed free tool that creates chart laying out what genai uses are permitted for an assignment. discuss genai with your students you do not need to be"
