Type,ID,Text
additional_guidance_for_generative_ai_-_august_2023,1,"additional guidance regarding generative artificial intelligence at the george washington university in spring 2023, the office of the provost distributed guidelines for using generative artificial intelligence at gw. this document provides additional guidance to faculty at the beginning of the new academic year and highlights gai-related resources available through the lai instructional core. help students understand the meaning of academic integrity as well as your"
additional_guidance_for_generative_ai_-_august_2023,2,"the lai instructional core. help students understand the meaning of academic integrity as well as your expectations for written products reinforce what plagiarism/cheating is why it’s wrong and your expectations for turning in original work. reference pertinent policies and ethics related to student conduct. consider including declaration of honesty in your assignments where students promise to abide by the integrity standards you, the instructor, gw,"
additional_guidance_for_generative_ai_-_august_2023,3,"in your assignments where students promise to abide by the integrity standards you, the instructor, gw, and students expect of themselves. allow students to disclose, if the instructor permits the use of gai, the use of gai tools like chatgpt and gpt-3 and explain how it was useful in completing an assignment. require at all levels meticulous citing of peer-reviewed and published work and identify"
additional_guidance_for_generative_ai_-_august_2023,4,"completing an assignment. require at all levels meticulous citing of peer-reviewed and published work and identify the reason for this. consider allowing draft submissions prior to final submissions so that faculty and instructional staff can get to know students’ writing voice and make targeted recommendations for improvement, thus minimizing last-minute attempts at using unauthorized tools. plagiarism detection tools are available and should be used if"
additional_guidance_for_generative_ai_-_august_2023,5,last-minute attempts at using unauthorized tools. plagiarism detection tools are available and should be used if you suspect breach in academic integrity. safeassign is available to all gw instructors and can be found in the blackboard suite of tools. keep in mind that there are no tools that can reliably detect gai-generated text and that false positives may put you in very difficult position with
additional_guidance_for_generative_ai_-_august_2023,6,"reliably detect gai-generated text and that false positives may put you in very difficult position with students. be clear in your expectations and refer to learning objectives and grading rubrics or criteria when assessing student’s work. when possible, ask students to present work they have done orally or in public forum like class session. understand the limitations of gai chatbots in understanding the behaviors and"
additional_guidance_for_generative_ai_-_august_2023,7,"public forum like class session. understand the limitations of gai chatbots in understanding the behaviors and limitations of gai tools outlined below, you can look more critically at student responses and better detect inappropriate use of gai to generate work. chatbots can sometimes use verbiage repetitively or in unusual contexts. look for phrases that were never used in the classroom but somehow find themselves in"
additional_guidance_for_generative_ai_-_august_2023,8,"contexts. look for phrases that were never used in the classroom but somehow find themselves in written work by student. chatbots cannot create new ideas but only pull from the vast data sets that exist on the internet provided by others in digital formats. encourage creative and critical writing prompts in your assignments, asking students to perform more analysis and synthesis rather than repeat facts."
additional_guidance_for_generative_ai_-_august_2023,9,"prompts in your assignments, asking students to perform more analysis and synthesis rather than repeat facts. chatbots do not cite their own writing and can generate false citations. require citations by students to ensure that peer-reviewed and published material from your course or elsewhere are supporting their thoughts. look for originality in writing. spot-check cited materials to ensure that they exist. chatbots do not produce"
additional_guidance_for_generative_ai_-_august_2023,10,for originality in writing. spot-check cited materials to ensure that they exist. chatbots do not produce error-free content. seek out inconsistencies and materials that do not adhere to course materials and adjacent assignments. chatbots do not produce contextually aware prose (especially for the casual user). require students to write within context using real or even fictitious scenarios to ground their thinking. final thoughts and additional
additional_guidance_for_generative_ai_-_august_2023,11,"within context using real or even fictitious scenarios to ground their thinking. final thoughts and additional resources remember, there is no failsafe method to prevent plagiarism. however, you can use available tools to attempt to limit the use of gai to take the place of original work. your human skills as instructors continue to be your best defense against dishonesty, and education about why integrity"
additional_guidance_for_generative_ai_-_august_2023,12,"skills as instructors continue to be your best defense against dishonesty, and education about why integrity is important to the communication of knowledge is key. assistance from the lai instructional core professional staff is always available by contacting for more information about these suggestions and the emerging chatbot landscape refer to: debby r. e. cotton, peter a. cotton j. reuben shipway (2023): chatting and cheating:"
additional_guidance_for_generative_ai_-_august_2023,13,"refer to: debby r. e. cotton, peter a. cotton j. reuben shipway (2023): chatting and cheating: ensuring academic integrity in the era of chatgpt, innovations in education ryan watkins (2022): update your course syllabus for chatgpt"
