Type,ID,Text
generative-artificial-intelligence-guidelines-april-2023,1,"generative artificial intelligence guidelines april 2023 some content adapted from report of the academic integrity committee of the george washington university law school, guidelines for using generative artificial intelligence at the george washington university the promise of generative artificial intelligence the wide availability of generative artificial intelligence (gai) tools, such as chatgpt and other large language models, is driving an ongoing conversation about their academic"
generative-artificial-intelligence-guidelines-april-2023,2,"such as chatgpt and other large language models, is driving an ongoing conversation about their academic uses. gai tools represent an exciting addition to the learning process that can be deployed in innovative ways to advance learning objectives. this document provides some guidelines for the use of gai in connection with academic work at the university. the office of the provost encourages the entire university"
generative-artificial-intelligence-guidelines-april-2023,3,"connection with academic work at the university. the office of the provost encourages the entire university community to embrace these technologies through creative uses and applications. faculty are invited to make thoughtful use of gai tools in their teaching and research. used properly, gai tools can enhance the design of lessons, assignments, and assessments. our students will use gai tools for the rest of their"
generative-artificial-intelligence-guidelines-april-2023,4,"of lessons, assignments, and assessments. our students will use gai tools for the rest of their lives. there are many productive ways in which they might use them as students, consistent with stated course policies and objectives. examples include: brainstorming ideas; summarizing and translating content; explaining new concepts to aid comprehension; generating counter-arguments; suggesting titles; debugging code; gathering sources; and formatting references. designing assignments even"
generative-artificial-intelligence-guidelines-april-2023,5,"aid comprehension; generating counter-arguments; suggesting titles; debugging code; gathering sources; and formatting references. designing assignments even as we are learning ourselves, we must teach our students to use gai tools effectively and responsibly: to draft appropriate prompts; to think critically about the proper use of the tools and their possible effects on society; to evaluate their outputs with respect to accuracy, bias, and equity. exercises"
generative-artificial-intelligence-guidelines-april-2023,6,"possible effects on society; to evaluate their outputs with respect to accuracy, bias, and equity. exercises might include having students formulate effective prompts; identify superficial rhetoric in gai-generated content; and evaluate gai-generated arguments for soundness and logical validity. students could be asked to fact-check, criticize, and/or edit gai-generated content for credit. the instructional core in the division of libraries and academic innovation has provided useful"
generative-artificial-intelligence-guidelines-april-2023,7,"for credit. the instructional core in the division of libraries and academic innovation has provided useful guidance for instructors on responding to generative artificial intelligence (ai) tools. the office of the provost encourages instructors to consult these resources. encouraging responsible use for all their promise, gai tools misused could interfere with learning objectives and impair the development of students’ writing, analytical, and technical skills. there"
generative-artificial-intelligence-guidelines-april-2023,8,"interfere with learning objectives and impair the development of students’ writing, analytical, and technical skills. there are also legitimate concerns about academic ethics, accuracy, citation of sources, and cheating. the office of student rights responsibilities maintains faculty guide to clarifying academic expectations that directly addresses the use of gai tools in connection with academic work. an instructor who suspects an academic integrity violation should consider"
generative-artificial-intelligence-guidelines-april-2023,9,"tools in connection with academic work. an instructor who suspects an academic integrity violation should consider submitting charge of academic dishonesty. note: the law school and the school of medicine and health sciences maintain their own codes of academic integrity, so the guidance contained in this document does not apply to these schools. the office of the provost encourages instructors to state explicitly and affirmatively"
generative-artificial-intelligence-guidelines-april-2023,10,apply to these schools. the office of the provost encourages instructors to state explicitly and affirmatively their expectations regarding student use of gai tools. instructors should specify in writing the permitted and prohibited uses of gai tools in their courses. instructors might 1) generally permit the use of gai tools; 2) generally forbid their use; or 3) permit their use for certain purposes on certain
generative-artificial-intelligence-guidelines-april-2023,11,"tools; 2) generally forbid their use; or 3) permit their use for certain purposes on certain assignments, but not others. if an instructor wishes to permit certain uses of gai tools, such uses must be set forth explicitly in the course syllabus and/or assignment instructions. below is some model language for the three permission options: general permission generative artificial intelligence (gai) tools such as chatgpt"
generative-artificial-intelligence-guidelines-april-2023,12,"language for the three permission options: general permission generative artificial intelligence (gai) tools such as chatgpt are becoming important resources in many fields and industries. accordingly, you are permitted to use such tools to generate content submitted for evaluation in this course, including [papers; take-home examinations; specified other assignments]. you remain responsible for all content you submit for evaluation. [instructors might also wish to include"
generative-artificial-intelligence-guidelines-april-2023,13,"you remain responsible for all content you submit for evaluation. [instructors might also wish to include language regarding pitfalls, such as the following:] you may use gai tools to help generate ideas and brainstorm. however, you should note that the material generated by these tools may be inaccurate, incomplete, or otherwise problematic. beware that use may also stifle your own independent thinking and creativity. [instructors"
generative-artificial-intelligence-guidelines-april-2023,14,"or otherwise problematic. beware that use may also stifle your own independent thinking and creativity. [instructors might also wish to include language regarding citation, such as the following:] if you include content (e.g., ideas, text, code, images) that was generated, in whole or in part, by generative artificial intelligence tools (including, but not limited to, chatgpt and other large language models) in work submitted for"
generative-artificial-intelligence-guidelines-april-2023,15,"tools (including, but not limited to, chatgpt and other large language models) in work submitted for evaluation in this course, you must document and credit your source. for example, text generated using chatgpt-4 should include citation such as: “chatgpt-4. (yyyy, month dd of query). ‘text of your query.’ generated using openai. material generated using other tools should be cited accordingly. failure to do so in"
generative-artificial-intelligence-guidelines-april-2023,16,"using openai. material generated using other tools should be cited accordingly. failure to do so in this course constitutes failure to attribute under the george washington university code of academic integrity. general prohibition by submitting work for evaluation in this course, you represent it as your own intellectual product. you may not submit for evaluation any content (e.g., ideas, text, code, images) that was generated,"
