Type,ID,Text,Keywords
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,1,"ai guidance and best practices gw information technology the george washington university information technology get help about leadership it initiatives policies, standards guidelines ai guidance and best practices faculty staff workstation initiative guidelines listserv email lists terms of service sharepoint access control using ai in gw meetings it events ai guidance and best practices this administrative guidance directs gw staff and administrators on the responsible","administrative, artificialintelligence, control, event, faculty, guidance, guideline, policy, practice, technology, university"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,2,"ai guidance and best practices this administrative guidance directs gw staff and administrators on the responsible use and procurement of artificial intelligence (ai) technologies and informs them about gw-approved ai tools available for administrative functions. guidance for ai in academic work is provided separately in “gw’s guidelines for using generative artificial intelligence in academic work."" ai refers to computer systems designed to perform tasks that","academic, administrative, artificialintelligence, computer, generative, guidance, guideline, gws, practice, system, technology, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,3,"generative artificial intelligence in academic work."" ai refers to computer systems designed to perform tasks that typically require human intelligence. these systems use advanced analytical and logic-based techniques, including machine learning (ml), to interpret patterns in large datasets, make predictions, and inform actions. ml is core ai component where systems learn from data to improve their performance on specific tasks without being explicitly programmed for","academic, artificialintelligence, computer, generative, program, system"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,4,"systems learn from data to improve their performance on specific tasks without being explicitly programmed for every scenario. generative ai is specialized form of ai that can create new, original content such as text, images, or code based on inferences drawn from existing information. trained on vast amounts of data, these tools (like chatbots and large language models) learn underlying patterns to produce novel outputs","artificialintelligence, chatbots, create, data, generative, languagemodels, learn, output, program, system, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,5,"data, these tools (like chatbots and large language models) learn underlying patterns to produce novel outputs in response to prompts. they can assist with administrative tasks like drafting, summarizing, and organizing information, freeing up human expertise for work requiring deeper insight and collaboration. results of generative ai should always be reviewed by humans for accuracy and context. while generative ai is popular example of ai,","administrative, artificialintelligence, chatbots, collaboration, context, data, draft, generative, human, languagemodels, learn, output, prompt, review, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,6,"be reviewed by humans for accuracy and context. while generative ai is popular example of ai, the principles outlined in this guidance apply broadly to other ai applications used in administrative contexts, such as automation, analytics, and predictive tools. when used thoughtfully, ai can enhance productivity and support decision-making. when used carelessly, it risks exposing sensitive data, introducing bias, or eroding institutional trust. this guidance","administrative, artificialintelligence, context, data, generative, guidance, human, review, risk, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,7,"when used carelessly, it risks exposing sensitive data, introducing bias, or eroding institutional trust. this guidance promotes appropriate, value-added ai use that reinforces professional judgment and aligns with university policy. this guidance aligns with gws information technology, procurement, and privacy policies, and its code of ethical conduct. guiding principles for administrative use of ai use only gw-approved ai tools use ai tools that have been","administrative, artificialintelligence, data, guidance, guide, gws, policy, privacy, risk, technology, tool, university"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,8,"for administrative use of ai use only gw-approved ai tools use ai tools that have been reviewed and approved through gw’s procurement and risk review process. this pr for ensuring security, compliance, and responsible ai use, especially when handling non-public information* to sensitive data. for approved tools, always use your gw userid to apply required security and data protections. if unsure of tool’s approval status,","administrative, approval, artificialintelligence, compliance, data, gws, protection, public, review, risk, security, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,9,"your gw userid to apply required security and data protections. if unsure of tool’s approval status, you must verify its approval by checking the approved ai tools list befo ensure compliance and adherence to university policy. *non-public information is data not publicly available. examples include, but are not limited to: internal commu student/employee data, unpublished research, drafts, and budget materials. with such data, even if","approval, artificialintelligence, compliance, data, draft, employee, policy, protection, public, research, security, student, tool, university, verify"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,10,"to: internal commu student/employee data, unpublished research, drafts, and budget materials. with such data, even if anonymize essential to prevent exposure of sensitive or identifiable details. this guidance aligns with gw’s cybersecurity risk policy, identity and access management policy and acceptab resources policy. protect gw institutional data and personal information be vigilant with data input into ai tools. all tools used must be gw-approved, but","artificialintelligence, cybersecurity, data, draft, employee, guidance, gws, identity, personal, policy, protect, research, resource, risk, student, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,11,"information be vigilant with data input into ai tools. all tools used must be gw-approved, but data suitability within these to some types require more protection or are unsuitable for certain ai applications. to handle data appropriately tools: home about policies, standards guidelines ai guidance and best practices |get started support security academic technology explore tools services gw status about 11/19/25, 5:25 am ai guidance","academic, artificialintelligence, data, explore, guidance, guideline, policy, practice, protection, security, technology, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,12,"started support security academic technology explore tools services gw status about 11/19/25, 5:25 am ai guidance and best practices gw information technology the george washington university 1/4 first, determine the classification of your data. review gws privacy guidance for ai and data classification gu definitions and learn to identify: public data: e.g., public website content, event information. restricted data: e.g., non-public internal communications, plans, contracts","academic, artificialintelligence, classification, data, event, explore, guidance, gws, learn, practice, privacy, public, restrict, review, security, technology, tool, university"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,13,"public data: e.g., public website content, event information. restricted data: e.g., non-public internal communications, plans, contracts not for general public acce regulated data: e.g., legally protected data like ferpa/hipaa records, government ids subject to spe and representing the highest level of data sensitivity. once classified, ensure data is used only in gw-approved ai tools appropriate for its sensitivity level: public data: may be used with","artificialintelligence, data, event, level, protect, public, record, regulate, restrict, sensitivity, tool"
AI Guidance and Best Practices _ GW Information Technology _ The George Washington University,14,"only in gw-approved ai tools appropriate for its sensitivity level: public data: may be used with any gw-approved ai tool, provided all other guidelines are followed. restricted data: must only be used in gw-approved ai tools specifically designated for handling this lev sensitivity. consult the approved ai tools list to verify tool’s suitability for restricted data. regulated data: due to its extreme sensitivity and legal","artificialintelligence, data, guideline, level, public, regulate, restrict, sensitivity, tool, verify"
