item,count
academic,6
accessibility,2
administrative,4
applicable,3
authorize,8
barrier,2
capability,5
classification,13
classroom,3
collaboration,3
control,11
data,47
employee,4
event,4
explore,8
facility,1
faculty,12
guidance,1
guide,21
human,2
ithelpgwu,6
knowledge,2
law,2
learn,2
level,16
mobile,16
phone,5
physical,9
policy,6
privacy,4
protect,11
protection,17
public,21
quality,4
record,2
regulate,32
research,3
researcher,3
resource,2
restrict,27
risk,11
security,14
sensitivity,1
software,7
student,6
system,10
teach,2
technology,17
tool,6
unauthorized,11
university,26
cloud,3
compliance,1
computer,4
custody,5
cybersecurity,1
device,18
electronic,1
encryption,9
gws,1
host,3
identity,1
install,5
integrity,2
legitimate,5
library,1
loss,2
measure,3
office,2
owned,10
personal,2
practice,4
prints,3
requirement,3
review,1
secure,5
strongly,3
tls,2
transmit,5
