item,count
academic,38
accessibility,6
adapt,3
artificialintelligence,32
assignment,22
barrier,4
chatgpt,5
class,21
communicate,12
control,1
create,10
data,4
ethic,2
event,8
excellence,11
expectation,17
faculty,19
gelmangwu,7
genai,59
generative,25
guidance,6
guide,6
guideline,6
idea,4
integrity,6
learn,16
library,29
output,7
policy,16
privacy,7
program,8
research,15
resource,13
review,12
security,2
session,5
software,4
step,10
student,55
teach,30
tool,30
explore,6
gai,2
objective,6
permitted,3
quality,7
restrict,1
risk,1
skill,3
technology,2
university,2
write,12
adobe,1
authorize,2
capability,2
classroom,4
context,1
draft,1
evaluate,4
final,3
human,5
intellectual,2
invite,2
knowledge,2
level,1
product,2
prompt,7
researcher,1
strongly,2
style,1
success,2
unauthorized,2
violation,1
workshop,7
practice,1
zoom,2
