item,count
academic,2
accessibility,2
activity,3
administrative,3
artificialintelligence,3
attendees,4
barrier,1
capability,3
chat,1
class,8
cloud,2
collaboration,6
companion,3
compliance,1
control,5
create,1
data,6
encryption,3
event,6
faculty,4
guidance,3
guideline,2
host,7
instructors,3
invite,2
ithelpgwu,2
law,2
learn,3
legitimate,2
office,5
personal,6
phone,2
pii,4
platform,6
policy,4
practice,2
privacy,13
protect,1
protection,2
public,9
record,9
requirement,2
risk,6
room,7
security,1
session,3
step,1
strongly,2
student,3
technology,9
telehealth,4
tool,8
unauthorized,1
university,8
virtual,18
zoom,3
