item,count
academic,20
adapt,1
artificialintelligence,11
assignment,14
authorize,1
chatgpt,12
class,6
classroom,3
draft,2
ethic,2
evaluate,2
evaluation,12
expectation,4
faculty,4
final,4
gai,28
generative,10
guidance,4
guide,1
guideline,3
idea,10
instructors,16
integrity,20
intellectual,4
invite,1
language,8
languagemodels,7
law,2
learn,6
legitimate,1
library,2
model,1
objective,5
office,9
output,2
permitted,10
policy,2
practice,1
product,5
prompt,10
provost,7
quiz,5
research,2
resource,4
review,5
school,3
skill,4
student,26
teach,2
technology,2
tool,33
university,9
violation,2
write,12
chatbots,5
context,4
create,1
data,1
digital,1
human,1
level,2
public,2
session,2
unauthorized,2
