Type,ID,Text
ai.nd.edu_policies-and-guidelines,1,policies and guidelines ai in action ai@nd university of notre dame skip to content skip to navigation university of notre dame university of notre dame ai@nd get to know ai essentials participate ai in action news events about get to know ai essentials participate ai in action news events about home ai in action policies and guidelines policies and guidelines summary guidance work within current
ai.nd.edu_policies-and-guidelines,2,"about home ai in action policies and guidelines policies and guidelines summary guidance work within current university policies. beware of data danger protect confidential, copyrighted, and personal information. any ai tool used with institutional data must follow approval processes. routinely revisit specific usage policies. act ethically with ai. you are 100% responsible for the output you use. be transparent and document usage of ai. when"
ai.nd.edu_policies-and-guidelines,3,"are 100% responsible for the output you use. be transparent and document usage of ai. when in doubt, reach out. guidelines for using generative ai at notre dame the ai landscape is evolving rapidly, with its capabilities constantly improving and new tools being released daily. the current parameters on using generative ai at notre dame are described below. note that these guidelines for ai use"
ai.nd.edu_policies-and-guidelines,4,"using generative ai at notre dame are described below. note that these guidelines for ai use may change as the field progresses. ethical considerations, regulations, and guidelines surrounding generative ai must be regularly updated to reflect its ever-evolving nature. notre dame encourages safe exploration and use of generative ai tools to further our teaching, learning, research, and other pursuits. keep these guidelines in mind: work"
ai.nd.edu_policies-and-guidelines,5,"tools to further our teaching, learning, research, and other pursuits. keep these guidelines in mind: work within current university policies. our policies are here to help protect the university and its people. the use of ai tools must adhere to existing policies including responsible use of data information technology resources policy students are expected to abide by the generative ai policy for students faculty are"
ai.nd.edu_policies-and-guidelines,6,resources policy students are expected to abide by the generative ai policy for students faculty are asked to read the statement on generative ai and academic integrity and communicate clear expectations to students on using generative ai in their courses. nearly all third-party digital information resources provided through the hesburgh libraries or other university channels are subject to license agreements. most of these agreements currently
ai.nd.edu_policies-and-guidelines,7,"hesburgh libraries or other university channels are subject to license agreements. most of these agreements currently prohibit the use, adaption, copying, or data mining of journal articles, e-book chapters, or other electronic content with generative ai. doing so without prior, express, written permission from the publisher/provider(s) may violate our license agreement and could jeopardize access to the affected resources for the entire campus, and also"
ai.nd.edu_policies-and-guidelines,8,"license agreement and could jeopardize access to the affected resources for the entire campus, and also subject the university to legal risk. if you are considering using ai or data mining tools on library or other third-party content, please email to request consultation. protect confidential, copyrighted, and personal information. generative ai product providers vary in their approaches to data protection, retention, and usage of your"
ai.nd.edu_policies-and-guidelines,9,"generative ai product providers vary in their approaches to data protection, retention, and usage of your data. entering information into ai tools can be similar to posting that information on public website. this data includes: information entered via prompts uploaded material personal identifying information like your name or email address other background information you provide to improve personalization any data entered into such tools could"
ai.nd.edu_policies-and-guidelines,10,"address other background information you provide to improve personalization any data entered into such tools could become part of its training data, which may be reproduced or incorporated into the output it generates for users outside the university. providers may store and use your inputs to improve their models; others may share it with third parties for advertising purposes. some may guarantee data deletion, with"
ai.nd.edu_policies-and-guidelines,11,"others may share it with third parties for advertising purposes. some may guarantee data deletion, with others retain your data indefinitely. often, providers vary their data use policies across products, with free products having lower default standard for data protection than subscription products. sensitive business information, personal details, or confidential data entered into these systems could be exposed, reused, or accessed by unauthorized parties. before"
ai.nd.edu_policies-and-guidelines,12,"confidential data entered into these systems could be exposed, reused, or accessed by unauthorized parties. before using any ai platform, understand its specific data policies, security measures, and potential risks to make informed decisions about what information you enter into an online platform. the university is reviewing ai tools for use with non-public data; see approved ai tools for more detail. any ai tool used"
