Type,ID,Text
ai.universityofcalifornia.edu_governance-transparency,1,ai governance and transparency skip to main content open menu close menu search submit search about news and events ai governance and transparency applicable law and uc policy toggle submenu ai communities ai council subcommittees ai council roster toggle submenu tools and resources home ai governance and transparency ai governance and transparency while ai has the potential to streamline administrative workflows; enhance classroom experiences; and
ai.universityofcalifornia.edu_governance-transparency,2,"governance and transparency while ai has the potential to streamline administrative workflows; enhance classroom experiences; and enable more efficient, data-driven decision-making across uc, we must remain vigilant about potential risks such as accidental disclosure of proprietary, confidential, or personal data, and the inadvertent violation of university policy and/or state and federal laws. as we integrate ai into our daily lives, it is essential to adhere"
ai.universityofcalifornia.edu_governance-transparency,3,"and federal laws. as we integrate ai into our daily lives, it is essential to adhere to the uc ai principles along with relevant laws and policies that govern data usage, treating ai applications with the same caution and compliance as any other data usage. at the university of california, ai transparency refers to the openness and clarity about how ai systems are designed, implemented,"
ai.universityofcalifornia.edu_governance-transparency,4,"california, ai transparency refers to the openness and clarity about how ai systems are designed, implemented, and used. transparency fosters trust, ensures accountability, and allows stakeholders to understand and assess the impact and ethical implications of ai-driven decisions and processes. uc responsible ai principles the uc presidential working group on ai developed the uc responsible ai principles to establish appropriate oversight and guardrails so uc"
ai.universityofcalifornia.edu_governance-transparency,5,"on ai developed the uc responsible ai principles to establish appropriate oversight and guardrails so uc may harness the full potential of ai’s transformative technology while appropriately addressing concerns about the potential risks, particularly bias and discrimination. these principles draw upon growing consensus around the concept of responsible ai and various frameworks implemented across public and private sectors. aligning use cases with the uc responsible"
ai.universityofcalifornia.edu_governance-transparency,6,"and various frameworks implemented across public and private sectors. aligning use cases with the uc responsible ai principles helps ensure uc procures, develops, and implements ai-enabled tools that advance both our systems and processes as well as our values. what are the principles? appropriateness: the potential benefits and risks of ai and the needs and priorities of those affected should be carefully evaluated to determine"
ai.universityofcalifornia.edu_governance-transparency,7,"of ai and the needs and priorities of those affected should be carefully evaluated to determine whether ai should be applied or prohibited. transparency: individuals should be informed when ai-enabled tools are being used. the methods should be explainable, to the extent possible, and individuals should be able to understand ai-based outcomes, ways to challenge them, and meaningful remedies to address any harms caused. accuracy,"
ai.universityofcalifornia.edu_governance-transparency,8,"understand ai-based outcomes, ways to challenge them, and meaningful remedies to address any harms caused. accuracy, reliability, and safety: ai-enabled tools should be effective, accurate, and reliable for the intended use and verifiably safe and secure throughout their lifetime. fairness and non-discrimination: ai-enabled tools should be assessed for bias and discrimination. procedures should be put in place to proactively identify, mitigate, and remedy these harms."
ai.universityofcalifornia.edu_governance-transparency,9,"and discrimination. procedures should be put in place to proactively identify, mitigate, and remedy these harms. privacy and security: ai-enabled tools should be designed in ways that maximize privacy and security of persons and personal data. human values: ai-enabled tools should be developed and used in ways that support the ideals of human values, such as human agency and dignity, and respect for civil and"
ai.universityofcalifornia.edu_governance-transparency,10,"the ideals of human values, such as human agency and dignity, and respect for civil and human rights. adherence to civil rights laws and human rights principles must be examined in consideration of ai adoption where rights could be violated. shared benefit and prosperity: ai-enabled tools should be inclusive and promote equitable benefits (e.g., social, economic, environmental) for all. accountability: the university of california should"
ai.universityofcalifornia.edu_governance-transparency,11,"and promote equitable benefits (e.g., social, economic, environmental) for all. accountability: the university of california should be held accountable for its development and use of ai systems in service provision in line with the above principles. applicable laws and policies uc is subject to many laws, and has numerous policies, that apply to ai even if they dont explicitly mention ""artificial intelligence."" existing laws and"
ai.universityofcalifornia.edu_governance-transparency,12,"policies, that apply to ai even if they dont explicitly mention ""artificial intelligence."" existing laws and policies on privacy, it security, anti-discrimination, conduct, and more are just as relevant to ai and the data driving it as they are to any other framework. essentially, if an action wasnt permissible before ai, it isnt permissible with ai. review list of ucs applicable laws and policies and"
ai.universityofcalifornia.edu_governance-transparency,13,"before ai, it isnt permissible with ai. review list of ucs applicable laws and policies and learn more about how these policies relate to ai. additionally, uc legal has prepared legal expertise chart that serves as guide to navigate the complex legal landscape of artificial intelligence (ai) across diverse areas, including privacy, intellectual property, discrimination, due process, and contract law. by mapping potential university activities"
ai.universityofcalifornia.edu_governance-transparency,14,"areas, including privacy, intellectual property, discrimination, due process, and contract law. by mapping potential university activities to pertinent legal frameworks, laws, regulations, and guidance from federal and state agencies, this dynamic resource provides timely links to regulatory updates, best practices, and case law. it is an essential tool to support informed ai use and thorough risk assessment within the rapidly evolving ai policy environment. ai"
ai.universityofcalifornia.edu_governance-transparency,15,"support informed ai use and thorough risk assessment within the rapidly evolving ai policy environment. ai governance and transparency applicable law and uc policy uc ai transparency report transparency in the use of ai allows the university to more effectively assess potential risks and opportunities, analyze experiences and outcomes, and shape future initiatives. this includes developing policies for responsible ai use that promote efficiency, protect"
ai.universityofcalifornia.edu_governance-transparency,16,"and shape future initiatives. this includes developing policies for responsible ai use that promote efficiency, protect civil liberties, respect autonomy, and ensure equitable, positive outcomes. to that end, the ai council’s subcommittee on transparency established the initial operational groundwork for transparent ai usage. the committee conducted systemwide survey to update the council on uc’s ai use trends since the 2021 final report and defined “high"
ai.universityofcalifornia.edu_governance-transparency,17,"update the council on uc’s ai use trends since the 2021 final report and defined “high impact” ai uses affecting individuals, organizational units, or the university. their final report highlights uc’s ai activities and makes recommendations and observations to inform uc ai council initiatives for the coming year. uc ai transparency report university of california office of the president ucnet accessibility terms of use copyright"
ai.universityofcalifornia.edu_governance-transparency,18,ai transparency report university of california office of the president ucnet accessibility terms of use copyright â© the regents of the university of california
