Type,ID,Text
cndls.georgetown.edu_resources_ai,1,"home artificial intelligence (ai) toolkit cndls skip to main content blog open_in_new contact us events search menu close search about keyboard_arrow_down keyboard_arrow_up cndls blog open_in_new read our latest posts on teaching, learning, and innovation contact us our team project gallery explore work that faculty have done in partnership with cndls work at cndls open_in_new priorities keyboard_arrow_down keyboard_arrow_up artificial intelligence explore how to meaningfully integrate ai"
cndls.georgetown.edu_resources_ai,2,"cndls work at cndls open_in_new priorities keyboard_arrow_down keyboard_arrow_up artificial intelligence explore how to meaningfully integrate ai into educational practices experiential learning create learning environments that promote deep understanding inquiry and discourse foster conditions for open, respectful discourse and intellectual exploration programs keyboard_arrow_down keyboard_arrow_up apprenticeship in teaching (at) program teaching skills program designed for students who are teaching or taing cndls ai lab initiative to help"
cndls.georgetown.edu_resources_ai,3,skills program designed for students who are teaching or taing cndls ai lab initiative to help departments and programs thoughtfully engage with ai the doyle program on engaging difference open_in_new program for faculty on bringing conversations about difference into the classroom the engelhard project for connecting life and learning open_in_new program for faculty on incorporating wellbeing activities and perspectives into the classroom initiative on pedagogical
cndls.georgetown.edu_resources_ai,4,"open_in_new program for faculty on incorporating wellbeing activities and perspectives into the classroom initiative on pedagogical uses of ai (ipai) open_in_new innovation grants designed to support ai explorations at georgetown learning, equity, access, and pedagogy (leap) initiative new program for building and sustaining inclusive learning teaching, learning innovation summer institute (tlisi) open_in_new annual multi-day institute exploring topics in pedagogy through workshops, keynotes, and more services"
cndls.georgetown.edu_resources_ai,5,"institute (tlisi) open_in_new annual multi-day institute exploring topics in pedagogy through workshops, keynotes, and more services keyboard_arrow_down keyboard_arrow_up for faculty applied ai microcredential consultations curriculum enrichment grants digital learning days digital learning technology assistants (dlta) program undergraduate student assistance with integrating technology into courses funding opportunities mid-semester teaching feedback teaching communities for programs units assessment analytics classrooms and learning spaces online programs teaching resources keyboard_arrow_down"
cndls.georgetown.edu_resources_ai,6,teaching communities for programs units assessment analytics classrooms and learning spaces online programs teaching resources keyboard_arrow_down keyboard_arrow_up quick guides assessment and student feedback conducting class creating courses and curricula designing for inclusivity teaching across modalities teaching with technology understanding student learning toolkits artificial intelligence (ai) inclusive pedagogy inquiry and discourse other resources a-z teaching topics instructional continuity open_in_new syllabus policies teaching tools blog open_in_new contact
cndls.georgetown.edu_resources_ai,7,discourse other resources a-z teaching topics instructional continuity open_in_new syllabus policies teaching tools blog open_in_new contact us events home teaching resources artificial intelligence (ai) toolkit artificial intelligence (ai) toolkit artificial intelligence (ai) toolkit keyboard_arrow_down keyboard_arrow_up home how it works ai tools designing assignments developing course policies research resources for students home cndls is here to support you as you navigate the uses of generative artificial
cndls.georgetown.edu_resources_ai,8,"students home cndls is here to support you as you navigate the uses of generative artificial intelligence in your teaching and research. this teaching guide aims to help you navigate these advancements, offering insights into integrating ai into your courses, designing innovative assignments, crafting effective policies, and more. learn more about all the other ways cndls engages with ai how it works this section introduces"
cndls.georgetown.edu_resources_ai,9,"more about all the other ways cndls engages with ai how it works this section introduces the foundational aspects of generative ai, focusing on understanding what it is, how it functions, and its educational opportunities. ai tools explore how faculty and students can use ai tools effectively across teaching and research tasks. designing assignments effectively design assignments to integrate ai tools while maintaining educational integrity."
cndls.georgetown.edu_resources_ai,10,"and research tasks. designing assignments effectively design assignments to integrate ai tools while maintaining educational integrity. examples included. developing course policies establish clear policy on the use of ai tools in your course to foster academic integrity, equity, and creativity. selection of ai research an overview of the relevent research around ai and education. teaching resources see the latest resources on teaching with ai tools,"
cndls.georgetown.edu_resources_ai,11,"research around ai and education. teaching resources see the latest resources on teaching with ai tools, including cndls workshops and presentations plus other resources by topic. center for new designs in learning and scholarship 3520 prospect st. nw #314 washington, dc 20007 (202) 687-0625 cndls@georgetown.edu about priorities programs initiatives services support teaching resources contact us blog open_in_new events work at cndls open_in_new"
