Type,ID,Text
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,1,"artificial intelligence and homework support policies syllabus policies cndls skip to main content blog open_in_new contact us events search menu close search about keyboard_arrow_down keyboard_arrow_up cndls blog open_in_new read our latest posts on teaching, learning, and innovation contact us our team project gallery explore work that faculty have done in partnership with cndls work at cndls open_in_new priorities keyboard_arrow_down keyboard_arrow_up artificial intelligence explore how to"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,2,"in partnership with cndls work at cndls open_in_new priorities keyboard_arrow_down keyboard_arrow_up artificial intelligence explore how to meaningfully integrate ai into educational practices experiential learning create learning environments that promote deep understanding inquiry and discourse foster conditions for open, respectful discourse and intellectual exploration programs keyboard_arrow_down keyboard_arrow_up apprenticeship in teaching (at) program teaching skills program designed for students who are teaching or taing cndls ai lab"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,3,(at) program teaching skills program designed for students who are teaching or taing cndls ai lab initiative to help departments and programs thoughtfully engage with ai the doyle program on engaging difference open_in_new program for faculty on bringing conversations about difference into the classroom the engelhard project for connecting life and learning open_in_new program for faculty on incorporating wellbeing activities and perspectives into the classroom
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,4,"life and learning open_in_new program for faculty on incorporating wellbeing activities and perspectives into the classroom initiative on pedagogical uses of ai (ipai) open_in_new innovation grants designed to support ai explorations at georgetown learning, equity, access, and pedagogy (leap) initiative new program for building and sustaining inclusive learning teaching, learning innovation summer institute (tlisi) open_in_new annual multi-day institute exploring topics in pedagogy through workshops, keynotes,"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,5,"learning innovation summer institute (tlisi) open_in_new annual multi-day institute exploring topics in pedagogy through workshops, keynotes, and more services keyboard_arrow_down keyboard_arrow_up for faculty applied ai microcredential consultations curriculum enrichment grants digital learning days digital learning technology assistants (dlta) program undergraduate student assistance with integrating technology into courses funding opportunities mid-semester teaching feedback teaching communities for programs units assessment analytics classrooms and learning spaces online programs"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,6,mid-semester teaching feedback teaching communities for programs units assessment analytics classrooms and learning spaces online programs teaching resources keyboard_arrow_down keyboard_arrow_up quick guides assessment and student feedback conducting class creating courses and curricula designing for inclusivity teaching across modalities teaching with technology understanding student learning toolkits artificial intelligence (ai) inclusive pedagogy inquiry and discourse other resources a-z teaching topics instructional continuity open_in_new syllabus policies teaching tools
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,7,pedagogy inquiry and discourse other resources a-z teaching topics instructional continuity open_in_new syllabus policies teaching tools blog open_in_new contact us events home teaching resources syllabus policies artificial intelligence and homework support policies syllabus policies syllabus policies keyboard_arrow_down keyboard_arrow_up home georgetown university policies artificial intelligence and homework support policies attendance absences policies collaboration communication preferences deadlines and flexibility grading instructional continuity office hours participation technology use
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,8,"absences policies collaboration communication preferences deadlines and flexibility grading instructional continuity office hours participation technology use virtual attendance artificial intelligence and homework support policies on this page integrate ai ai tools limited no ai tools permitted ai text generators, like earlier technological google translate, spell-check—have asked us to rethink our approach to student tool use and academic honesty. options range from excluding the use of"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,9,our approach to student tool use and academic honesty. options range from excluding the use of ai (and using online tools to detect it in student work) to using it as focus of critical analysis. note that the official policy of the georgetown honor council is that students using ai-generated text and representing it as their own work constitutes violation of academic integrity. below we’ve
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,10,"ai-generated text and representing it as their own work constitutes violation of academic integrity. below we’ve provided policy options, as well as rationale for using each of them—or not. feel free to use the language below in your syllabus, and adapt as necessary. bear in mind that, especially because ai tools are the growing in development, clear policies about their use in your class is"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,11,"ai tools are the growing in development, clear policies about their use in your class is crucial for students to know. integrate ai students are allowed to use ai tools, with proper citation. sample syllabus policy: “new ai text generation tools may be helpful tools for this course and indeed your future professional lives. some assignments in this course will require the explicit and intentional"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,12,"indeed your future professional lives. some assignments in this course will require the explicit and intentional use of generative ai. when using and ai generator in your work, including in those assignment, the ai generator used to support your work must be included as source/citation.” rationale for rationale against an interesting way to help students think critically about these new tools; can help them develop"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,13,"an interesting way to help students think critically about these new tools; can help them develop metacognitive skills and reflect on their own work. may also reflect professional trends of how ai will be used in the industry or field, better preparing them for their next professional steps. leverages the fact that students are already using these tools to introduce how to use them effectively,"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,14,"the fact that students are already using these tools to introduce how to use them effectively, and how to critically think about their output. trust in students. inclusive to wide range of learning needs. assignments will need to be constructed to incorporate ai’s use and may would mainly be relevant only in certain courses (e.g., writing and computer science) and would in other contexts distract"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,15,"relevant only in certain courses (e.g., writing and computer science) and would in other contexts distract from the main points of the content or the specific learning objectives. check out our artificial intelligence tools page to explore sample assignments that directly integrate ai tools into the process. ai tools limited ai can be used by students at some stages of assignments/work, but not at others."
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,16,"limited ai can be used by students at some stages of assignments/work, but not at others. sample syllabus policy: “new ai text generation tools may be able to generate ideas/topics for your assignments, formulate structure for your written work, and can even help you find existing research on the topic. these uses are permitted in this course. the writing and revising, however, must be your"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,17,"topic. these uses are permitted in this course. the writing and revising, however, must be your own; you may not use ai text generators to write any portion of the paper itself, and using ai tools in this way will be treated as case of plagiarism and referred to the honor council. the ai generator used to support your work must be included as source/citation.”"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,18,the honor council. the ai generator used to support your work must be included as source/citation.” rationale for rationale against can be useful in courses where you’re more interested in what students do with ideas in polished final project than in how they get started generating or organizing those ideas. this could also be useful when assignments are conducted during class-time to allow the students
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,19,"ideas. this could also be useful when assignments are conducted during class-time to allow the students to learn directly from the faculty member on how generative ai can and could be used and when its use is not optimal. more complicated than no-use policy. could leave room for misinterpretation, where students may not see clean line between what they should contribute/write and what ai is"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,20,"where students may not see clean line between what they should contribute/write and what ai is ‘allowed’ to do for them. no ai tools permitted students are not allowed to use ai tools in doing course work. sample syllabus policy “in this course, your ideas and your voice are what matters. using ai text generation tools at any stage of working on your assignments (idea"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,21,"what matters. using ai text generation tools at any stage of working on your assignments (idea generation, looking for sources, outlining/organizing, writing, revising, etc.) would make it much harder for me to evaluate and respond helpfully to your work, since wouldn’t be able to tell what’s coming from you. as such, you’re not permitted to use ai text generating tools at any point when working"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,22,"as such, you’re not permitted to use ai text generating tools at any point when working on your assignments, and will treat the use of ai text generators as academic dishonesty, and will report the incident to the honor council.” rationale for rationale against clear standard that will be hard to misinterpret. asks students to demonstrate their ability at each stage of the writing process."
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,23,"hard to misinterpret. asks students to demonstrate their ability at each stage of the writing process. takes potentially useful tool away from students, who might be able to use ai to help them organize ideas. may also be unrealistic given our current ability to detect what is ai-generated. may also be misaligned with future workplace practices. whether or not ai is allowed in working on"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,24,"also be misaligned with future workplace practices. whether or not ai is allowed in working on other assignments, you might consider bringing it into the classroom as an object of study unto itself. these sample assignments offer demonstrations of how faculty have done this. back to top arrow_upward center for new designs in learning and scholarship 3520 prospect st. nw #314 washington, dc 20007 (202)"
cndls.georgetown.edu_resources_syllabus-policies_ai-and-homework-support,25,"for new designs in learning and scholarship 3520 prospect st. nw #314 washington, dc 20007 (202) 687-0625 cndls@georgetown.edu about priorities programs initiatives services support teaching resources contact us blog open_in_new events work at cndls open_in_new"
