Type,ID,Text
ctl.columbia.edu_resources-and-technology_resources_ai-tools,1,"considerations for ai tools in the classroom 1-212-854-1692 columbia university in the city of new york office of the provost office of teaching, learning, and innovation university policies columbia online academic calendar for faculty overview spring 2026 for faculty offerings for faculty ctl to go funded opportunities partner with students! faculty spotlights contacts for faculty science of learning for graduate students overview offerings for graduate"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,2,students! faculty spotlights contacts for faculty science of learning for graduate students overview offerings for graduate students teaching development pathways fellowships and opportunities student spotlights contacts for graduate instructors resources and technology overview resources and guides teaching with ai mentoring instructional technologies teaching in all modalities courseworks support event recordings about the ctl mission and vision leadership council staff ctl advisory board senior faculty teaching
ctl.columbia.edu_resources-and-technology_resources_ai-tools,3,"recordings about the ctl mission and vision leadership council staff ctl advisory board senior faculty teaching scholars soler news and features career opportunities annual report 2025 celebration of teaching learning past symposiums select page resources and technology resources and guides considerations for ai tools in the classroom considerations for ai tools in the classroom given the rapid pace of technological innovation and development, higher education,"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,4,"ai tools in the classroom given the rapid pace of technological innovation and development, higher education, like nearly all industries, is continuously called upon to consider creative approaches to teaching and learning. the following resource offers instructors brief introduction to artificial intelligence (ai) tools, specifically chatgpt, along with several strategies they might consider for navigating or engaging with these tools in their courses. on this"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,5,strategies they might consider for navigating or engaging with these tools in their courses. on this page: what are ai tools? chatgpt in the classroom conclusion resources and references for instructors: share your thoughts with us! have additional questions about ai tools in your classroom? have examples of how you are integrating these tools in your course or redesigning your assignments to address them? email
ctl.columbia.edu_resources-and-technology_resources_ai-tools,6,"you are integrating these tools in your course or redesigning your assignments to address them? email ctlfaculty@columbia.edu to share your questions and innovations! cite this resource: columbia center for teaching and learning (2023). considerations for ai tools in the classroom. columbia university. retrieved [today’s date] from what are ai tools? while instructors will continue to encounter new tools and technological innovations, which can sometimes feel"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,7,"tools? while instructors will continue to encounter new tools and technological innovations, which can sometimes feel overwhelming, the science of teaching and learning offers support for navigating and responding to innovative tools, expanded opportunities, and ongoing shifts. most recently, higher education has grappled with the seemingly-overnight introduction of chatgpt, which first became available in november 2022 and has since captivated the discourse in higher education"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,8,"which first became available in november 2022 and has since captivated the discourse in higher education with its ongoing evolution and iterations. the following section offers an overview of chatgpt, what it does, and its current limitations. it’s important to recognize, however, that because the technology is self-learning, it can improve and evolve quickly; thus, what is limitation today could be addressed in future iterations"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,9,"can improve and evolve quickly; thus, what is limitation today could be addressed in future iterations or versions. this was perhaps made most evident with the release of gpt-4 during the spring 2023 semester, which introduced series of new capabilities for the generative ai tool. furthermore, since the release of chatgpt hundreds of ai apps have exploded into the scene, some of which assist in"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,10,"of chatgpt hundreds of ai apps have exploded into the scene, some of which assist in research (e.g. consensus.app and scite.ai), brainstorming (e.g. mymap.ai), and student presentations (e.g. lenovo.ai, twelvelabs.io, and invideo.io). chatgpt chatgpt, created by openai, is “model […] which interacts in conversational way” and has the ability to “answer followup [sic] questions, admit its mistakes, challenge incorrect premises, and reject inappropriate requests” openai"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,11,"to “answer followup [sic] questions, admit its mistakes, challenge incorrect premises, and reject inappropriate requests” openai blog,“chatgpt” ). in respect to the classroom, chatgpt can produce written responses to input prompts, write essays and poems, assist with computer code, provide feedback on student-written text, and more. view faculty spotlight of robert j. morais, lecturer in business, and kamel jedidi, jerome a. chazen professor of global"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,12,"of robert j. morais, lecturer in business, and kamel jedidi, jerome a. chazen professor of global business, who share their experience using chatgpt in their course. the most recent version, gpt-4, is described as “more creative and collaborative” with the ability to “generate, edit, and iterate with users on creative and technical writing tasks” openai, gpt-4 ). unlike its predecessors, gpt-4 is capable of producing"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,13,"creative and technical writing tasks” openai, gpt-4 ). unlike its predecessors, gpt-4 is capable of producing longer form responses, with more complex analyses in response to particular prompts. it has wider capabilities such as image analysis, and the addition of plug-ins that connect chatgpt to other third party services, including information from the web. it is important to note, however, that gpt-4 and its capabilities"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,14,"including information from the web. it is important to note, however, that gpt-4 and its capabilities are only available through paid subscription to gpt plus; these more advanced features are not built into the free uses of chatgpt. despite these expanded capabilities, like many ai tools, chatgpt does have variety of limitations. some of its current limitations include: sharing incorrect information: the paid gpt-4 version"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,15,"variety of limitations. some of its current limitations include: sharing incorrect information: the paid gpt-4 version of chatgpt has access to the internet, while gpt-3.5 (the free version) does not and can only access information prior to 2021. since chatgpt is predictive text model, it can at times make up information, especially if the information is not easily accessible. this makes chatgpt prone to making"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,16,"up information, especially if the information is not easily accessible. this makes chatgpt prone to making factual mistakes, often confusing similar information, and even making up citations when asked to produce them. generating personal reflections: chatgpt can generate responses to questions and prompts, but it is still an ai bot; thus, it is unable to respond to prompt that requires student’s personal experience or reflections."
ctl.columbia.edu_resources-and-technology_resources_ai-tools,17,"bot; thus, it is unable to respond to prompt that requires student’s personal experience or reflections. producing non-text based responses: despite the availability of other image-based ai generators such as dall-e and midjourney, chatgpt responses are strictly text-based. therefore, any response produced can only offer text. with its most recent updates, chatgpt can, however, accept image input prompts to generate captions and produce image analyses."
ctl.columbia.edu_resources-and-technology_resources_ai-tools,18,"recent updates, chatgpt can, however, accept image input prompts to generate captions and produce image analyses. an awareness of chatgpt’s capabilities and limitations can help instructors talk openly with their students about the potential role of the tool in the course and what is expected in terms of student engagement with ai tools. additionally, knowing what chatgpt can and cannot do can also help instructors"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,19,"engagement with ai tools. additionally, knowing what chatgpt can and cannot do can also help instructors make decisions around course and assignment design. the following section offers several approaches for instructors to consider when developing their own approaches to chatgpt in their own courses. instructors can explore openai’s documentation educator considerations for chatgpt as they consider their own approach to teaching and learning with chatgpt."
ctl.columbia.edu_resources-and-technology_resources_ai-tools,20,"educator considerations for chatgpt as they consider their own approach to teaching and learning with chatgpt. chatgpt in the classroom there is no one correct way to navigate the use of chatgpt in the classroom. the role it plays (or doesn’t) in course will depend on several factors including course objectives and goals, disciplinary skills that students need to practice, and instructors’ own comfort level"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,21,"course objectives and goals, disciplinary skills that students need to practice, and instructors’ own comfort level with engaging with the tool. no matter how instructors respond to the evolution of ai tools, it’s important to have explicit expectations, and provide opportunities for clear conversations with students about those expectations. read on to learn more about several possible approaches and considerations to help instructors start navigating,"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,22,"read on to learn more about several possible approaches and considerations to help instructors start navigating, leveraging, and possibly even engaging chatgpt (and future ai tools) in their course. view recording of the “teaching and chatgpt” forum held on february 13, 2023. columbia contributors shared resources and facilitated an informal conversation about ai tools, specifically chatgpt, and its implications in the classroom. develop course policies"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,23,"informal conversation about ai tools, specifically chatgpt, and its implications in the classroom. develop course policies that include digital transparency it is important to be explicit with students about the expectations around the usage of chatgpt and other ai tools in your course. for example, chatgpt is capable of reading student’s essay and providing meaningful feedback that can then be used by the student to"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,24,"reading student’s essay and providing meaningful feedback that can then be used by the student to make edits. as the instructor, be clear about these expectations: can students use the tool for feedback on their own writing? if so, how should they disclose their use? as with all course policies, especially those around academic integrity it is essential for instructors to be explicit and transparent"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,25,"policies, especially those around academic integrity it is essential for instructors to be explicit and transparent with their expectations, and to have frank conversations with their students. some colleagues are collecting and maintaining an open-source repository of sample digital transparency language and policies from higher education. while not affiliated with columbia, this collection can offer some insight into the different approaches institutions and individual instructors"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,26,"with columbia, this collection can offer some insight into the different approaches institutions and individual instructors are taking when it comes to addressing ai tools in the classroom. since chatgpt’s introduction, there has been parallel rise in tools claiming accurate detection of ai-generated work. as with any form of detection software, there are risks of misidentification, which can have consequences in the classroom. these products"
ctl.columbia.edu_resources-and-technology_resources_ai-tools,27,"detection software, there are risks of misidentification, which can have consequences in the classroom. these products are best used with careful consideration, and as one of many ways to work with students. it is also important to include the use of these tools in any discussion with students around course policies, making clear why and how such services may be used in the course. when"
