Type,ID,Text
dtei.uci.edu_generative-ai,1,generative ai for teaching learning news blogs events calendar contact opportunities faculty certification programs active learning institute (ali) digital learning institute (dli) inclusive teaching institute (iti) teaching experiment academy (tea) institute for pedagogical wellness (ipw) certified learning assistants program course design essentials program (cde) workshops and professional development faculty commons coffee meets teaching talk about teaching with digital tools specs grading discussion group new faculty
dtei.uci.edu_generative-ai,2,commons coffee meets teaching talk about teaching with digital tools specs grading discussion group new faculty new faculty teaching academy grads postdocs graduate post docs programs educational development graduate scholars dtei graduate scholars pedagogical scholars program pedagogical liaisons program ta professional development program (tapdp) course design essentials program (cde) training workshops just-in-time ta training workshops and professional development courses university studies 390x certificate in teaching
dtei.uci.edu_generative-ai,3,training workshops just-in-time ta training workshops and professional development courses university studies 390x certificate in teaching excellence program (ctep) grants funding uc irvine impact program the uc online grant award teaching development conference grant pedagogical scholars program dtei fellowships dtei faculty fellows dtei graduate scholars workshops and professional development accessibility teaching accessibility guide digital accessibility support help support consultation and support digital accessibility support help
dtei.uci.edu_generative-ai,4,accessibility teaching accessibility guide digital accessibility support help support consultation and support digital accessibility support help peer teaching consultation digital and online teaching consultation pedagogical consultation instructional design support learning assistants reader training full-scale course development services resources instructional continuity pedagogy general teaching practices teachanywhere online student engagement specifications grading specs grading discussion group teaching experiment academy inclusive teaching teaching accessibility guide dei course design
dtei.uci.edu_generative-ai,5,grading specs grading discussion group teaching experiment academy inclusive teaching teaching accessibility guide dei course design rubric course development canvas sample template options for instructional videos new online course proposal questions syllabus template digital learning learning technologies exam digitization grading 4-steps approach to remote teaching active learning anteater learning pavilion generative ai facilitating difficult discussions peer observation of teaching research educational research initiatives digital learning
dtei.uci.edu_generative-ai,6,pavilion generative ai facilitating difficult discussions peer observation of teaching research educational research initiatives digital learning digital learning institute faculty consultation active learning active learning institute (ali) anteater learning pavilion (alp) pedagogical wellness fate anteater virtues faculty information student information thank teacher events dtei happy hours workshops and professional development uci teach day celebration of teaching 2025 nominations about our team dtei org chart generative
dtei.uci.edu_generative-ai,7,"development uci teach day celebration of teaching 2025 nominations about our team dtei org chart generative ai for teaching and learning rapidly evolving generative ai systems include text-generating ai chat services (e.g., chatgpt, gemini, claude), as well as image-generating, audio, and video ai systems. these machine learning-powered systems are increasingly integrated into our daily communication apps, word-processing software, and technology broadly. as teachers, uci faculty"
dtei.uci.edu_generative-ai,8,"increasingly integrated into our daily communication apps, word-processing software, and technology broadly. as teachers, uci faculty now need to consider how might ai impact students’ learning both inside and outside the classroom? [see statements below] is my ai policy and the rationale clear on the syllabus? example digital learning lab guidance do my learning objectives and assessments meet the moment? dtei resource uc irvine faculty"
dtei.uci.edu_generative-ai,9,"lab guidance do my learning objectives and assessments meet the moment? dtei resource uc irvine faculty and staff have expertise when it comes to teaching in the age of ai. here are some links to current uci statements and materials depending on the specific pedagogical context and goals, you will see that the attitudes range from the negative ai distracts from learning to the positive:"
dtei.uci.edu_generative-ai,10,"will see that the attitudes range from the negative ai distracts from learning to the positive: certain ai capabilities like tailored tutoring help. this range does not signal thoughtlessness. it signals real diversity of teaching and learning contexts. in fact, the informed quality of this diversity can be taught to students. ovptl/cwcc faq (originally published in 2023, but still relevant) digital learning lab zotgpt academy"
