Type,ID,Text
genai.ucla.edu_guiding-principles-responsible-use,1,artificial intelligence (ai) digital technology solutions skip to main content digital technology solutions secondary navigation for students for faculty for staff guest it resources main navigation products services academic technology tools collaboration tools advisory committee box docusign google workspace service adjustments slack zoom enterprise messaging accessing emails via the web enterprise messaging: office 365 enterprise messaging knowledge base enterprise messaging support enterprise data and analytics
genai.ucla.edu_guiding-principles-responsible-use,2,web enterprise messaging: office 365 enterprise messaging knowledge base enterprise messaging support enterprise data and analytics ucla data lakehouse qdb and bruinbuy plus campus data warehouse (cdw) overview cognos web reports qdb data models and data dictionaries support and training helpful hints and user guides change qdb password get help tableau overview tableau licenses ucpath overview ucla ods subject area data models qdb logon id
genai.ucla.edu_guiding-principles-responsible-use,3,help tableau overview tableau licenses ucpath overview ucla ods subject area data models qdb logon id guest network logon ids phone mobile services security services 1password at ucla high compliance environment (hce) iamucla/ucla logon id multi-factor authentication (mfa) at ucla patch management (ivanti) scanning tools spirion identity finder third party risk management (tprm) threat detection identification trellix endpoint security (antivirus) vulnerability management web application scanning
genai.ucla.edu_guiding-principles-responsible-use,4,party risk management (tprm) threat detection identification trellix endpoint security (antivirus) vulnerability management web application scanning software downloads virtual private network (vpn) clients hostexplorer stunnel mochasoft wireless network access (wi-fi) connecting to campus wireless network customer support classroom search dts billing help 2024/2025 billing rates announcement dts billing faqs pcr-360 user guide technology infrastructure fee faqs it support community resources it support portal knowledge bases
genai.ucla.edu_guiding-principles-responsible-use,5,pcr-360 user guide technology infrastructure fee faqs it support community resources it support portal knowledge bases security resources security tools cybersecurity for you it policies practices online security glossary phish bowl security best practices training courses contact us student consultant positions system status training resources training partners strategy roadmap governance advisory and alignment groups strategic committees executive it governance board it security governance portfolio initiatives
genai.ucla.edu_guiding-principles-responsible-use,6,"governance advisory and alignment groups strategic committees executive it governance board it security governance portfolio initiatives artificial intelligence (ai) bruin connect and secure bruin learn center of excellence bruin voice facet operating model by the numbers faq leadership job opportunities mission, vision, values organization newsroom contact us search icon search the site: home strategy roadmap initiatives initiatives artificial intelligence (ai) overview the ai innovation initiative"
genai.ucla.edu_guiding-principles-responsible-use,7,"search the site: home strategy roadmap initiatives initiatives artificial intelligence (ai) overview the ai innovation initiative is campus-wide effort to build ai fluency, foster innovation, and drive responsible ai adoption. through strategic partnerships with leaders like openai and google, we’re empowering faculty, staff, and students to explore high-impact use cases, prototype solutions, and apply ai ethically across research, teaching, and operations. our vision is to"
genai.ucla.edu_guiding-principles-responsible-use,8,"cases, prototype solutions, and apply ai ethically across research, teaching, and operations. our vision is to position ucla as thought leader in ai, cultivating collaborative culture that values experimentation, transparency, and equitable innovation. resources here at ucla, we are committed to exploring and leveraging ai capabilities to enrich our community’s academic and creative endeavors while keeping academic integrity and ethical use at the forefront. as"
genai.ucla.edu_guiding-principles-responsible-use,9,"community’s academic and creative endeavors while keeping academic integrity and ethical use at the forefront. as such, we provide range of resources to help our community effectively use and understand ai. this includes: guiding principles for responsible use advice and guidance on responsible, safe, and ethical considerations all ucla user should follow when leveraging ai tools, coupled with specific and tailored guidance for campus user"
genai.ucla.edu_guiding-principles-responsible-use,10,"user should follow when leveraging ai tools, coupled with specific and tailored guidance for campus user groups. available ai tools access to state-of-the-art ai platforms and software that meets the security and privacy standards required for campus use, and tailored for academic, administrative, and research purposes. user guides and training ucla curated, and vendor provided user guides to quickly get up to speed and stay"
genai.ucla.edu_guiding-principles-responsible-use,11,"training ucla curated, and vendor provided user guides to quickly get up to speed and stay up to date. events regularly organized keynotes, presentations, workshops, and training sessions to increase the ai influence on campus. faq answers to the most frequent questions raised through the service desk and campus committees. mailing list sign up to receive new research, events, tools resources, straight to your inbox."
genai.ucla.edu_guiding-principles-responsible-use,12,"committees. mailing list sign up to receive new research, events, tools resources, straight to your inbox. strategy roadmap governance portfolio initiatives artificial intelligence (ai) meet the cdaio meet the ai student worker cohorts governance generative ai ai education hub events mailing list bruin connect and secure bruin learn center of excellence bruin voice facet operating model by the numbers faq digital technology solutions (310) 26"
genai.ucla.edu_guiding-principles-responsible-use,13,of excellence bruin voice facet operating model by the numbers faq digital technology solutions (310) 26 7-help (4357) help@it.ucla.edu quick links system status updates ucla’s wi-fi connect to vpn individual box accounts email information jobs at dts it policies practices collaborations new to ucla? for students for faculty for staff for guests find answers visit our knowledge bases it support portal customer support get help
genai.ucla.edu_guiding-principles-responsible-use,14,staff for guests find answers visit our knowledge bases it support portal customer support get help open ticket 2026 regents of the university of california emergency accessibility report misconduct privacy terms of use facebook instagram linked youtube tiktok threads
