Type,ID,Text
ist.mit.edu_ai-guidance,1,"guidance for use of generative ai tools information systems technology skip to main content audiences for faculty staff for students for it support providers search form search get started with it connect, configure, go students get answers to your technology questions even before you arrive. faculty and staff learn what it services are available to you as faculty or staff member. visitors and guests learn"
ist.mit.edu_ai-guidance,2,what it services are available to you as faculty or staff member. visitors and guests learn what it services are available to you as guest or visitor. generative ai use at mit guidance for use of generative ai tools generative ai tools available at mit openai chatgpt for mit faculty our services find resources fast accounts and passwords accounts and passwords business apps business apps
ist.mit.edu_ai-guidance,3,"faculty our services find resources fast accounts and passwords accounts and passwords business apps business apps audiovisual audiovisual collaboration and communication collaboration and communication network and infrastructure network and infrastructure educational technology educational technology end-user support tools end-user support tools hardware hardware help help security security web, data, and servers web, data, and servers get software get software collaboration data and reporting design and media"
ist.mit.edu_ai-guidance,4,"servers web, data, and servers get software get software collaboration data and reporting design and media engineering and science information security mathematics operating systems productivity research and analysis utilities information security prepare, protect, prevent about is&t get news information news our organization it policies job openings menu get started with is&t our services get software secure computing about is&t get help search the knowledge base"
ist.mit.edu_ai-guidance,5,with is&t our services get software secure computing about is&t get help search the knowledge base request help from the service desk phone: 617-253-1101 email: helpdesk@mit.edu get started with it guidance for use of generative ai tools you are here get started with it generative ai use at mit guidance for use of generative ai tools menu get started with is&t our services get software
ist.mit.edu_ai-guidance,6,guidance for use of generative ai tools menu get started with is&t our services get software secure computing about is&t get help search the knowledge base request help from the service desk phone: 617-253-1101 email: helpdesk@mit.edu create digital mit identity and access institute systems and it resources students faculty and staff visitors and guests generative ai use at mit guidance for use of generative ai
ist.mit.edu_ai-guidance,7,"and staff visitors and guests generative ai use at mit guidance for use of generative ai tools generative ai tools available at mit openai chatgpt for mit faculty information systems and technology (is&t) is providing this initial guidance to encourage community members to consider factors including information security, data privacy, regulatory and policy compliance, compliance with confidentiality restrictions concerning third party information and data, intellectual"
ist.mit.edu_ai-guidance,8,"privacy, regulatory and policy compliance, compliance with confidentiality restrictions concerning third party information and data, intellectual property (e.g., copyright and patent), and academic integrity when choosing to use or purchase software that makes use of generative artificial intelligence (ai). for mit faculty and instructors: mits chair of the faculty has recommended the use of these resources on generative ai and teaching provided by the teaching"
ist.mit.edu_ai-guidance,9,"has recommended the use of these resources on generative ai and teaching provided by the teaching and learning laboratory. this guidance does not address all issues for consideration when using generative ai tools as part of mit research, nor does this guidance focus on when mit researchers are creating generative ai tools or publicly releasing datasets/information that could become ingestible data for use by mit"
ist.mit.edu_ai-guidance,10,generative ai tools or publicly releasing datasets/information that could become ingestible data for use by mit researchers or third parties for training generative ai tools. please contact mitogc@mit.edu for further guidance on research-related applications or development of ai tools. consult with is&t before purchasing or using generative ai tools is&t is working closely with the mit it governance committee information technology policy committee and the
ist.mit.edu_ai-guidance,11,is&t is working closely with the mit it governance committee information technology policy committee and the office of general counsel to determine appropriate terms for vendor agreements relating to generative ai. is&t recommends mit community members first consider using tools and services which have already been licensed by is&t for use by the mit community before entering into any license agreements for new ai tool
ist.mit.edu_ai-guidance,12,"for use by the mit community before entering into any license agreements for new ai tool or service, we recommend reaching out to ai-guidance@mit.edu for consultation on your planned use of ai and an assessment of the tool or service before it is used. if an mit dlci is already using generative ai tool or service, ensure that the tool complies with all institute policies"
ist.mit.edu_ai-guidance,13,"already using generative ai tool or service, ensure that the tool complies with all institute policies and information protection guidelines. contact ai-guidance@mit.edu if you have need for consultation or assessment. do not use generative ai for purposes that may require in-depth risk assessments without contacting ai-guidance@mit.edu examples include: recruitment and hiring of employees, evaluating student academic performance, making investment decisions, and complaint and dispute resolution."
ist.mit.edu_ai-guidance,14,"and hiring of employees, evaluating student academic performance, making investment decisions, and complaint and dispute resolution. protect mit information and confidential data as with any use of information technology at mit, ensure that your use of generative ai tools and services complies with all applicable federal and state laws and orders (including, without limitation, ferpa, hipaa, massachusetts data protection standards export control laws, and executive"
ist.mit.edu_ai-guidance,15,"and orders (including, without limitation, ferpa, hipaa, massachusetts data protection standards export control laws, and executive order on the safe, secure, and trustworthy development and use of artificial intelligence ), institute policies (including 10.1 academic and research misconduct 11.0 privacy and disclosure of personal information and 13.0 information policies ), follows all guidelines outlined on information protection the institutes written information security program (wisp), and"
ist.mit.edu_ai-guidance,16,"), follows all guidelines outlined on information protection the institutes written information security program (wisp), and complies with any additional policies established by your department, lab, center, or institute (dlci). no generative ai tools, including those licensed by is&t, are approved for use with high risk mit information additionally, we do not recommend using publicly available genai tools not subject to an institute licensing agreement"
ist.mit.edu_ai-guidance,17,"we do not recommend using publicly available genai tools not subject to an institute licensing agreement for your mit research and educational activities, including with low risk or medium risk information examples of information inappropriate for generative ai tools include non-public research results and data, unpublished research papers, confidential information received from third parties (such as research sponsors and collaborators), unpublished invention disclosures and patent"
ist.mit.edu_ai-guidance,18,"information received from third parties (such as research sponsors and collaborators), unpublished invention disclosures and patent applications, institute financial and human resources information, personally identifiable information (including, for example, student records, medical records), any information subject to legal or regulatory requirements necessitating its proper safeguarding and handling, and any other information not intended to be freely available to the general public, or to the mit"
ist.mit.edu_ai-guidance,19,"other information not intended to be freely available to the general public, or to the mit community without access controls. ensure accuracy before publishing ai-generated information be aware that information generated by ai may be inaccurate, incomplete, misleading, biased, fabricated, or may contain material subject to third party’s intellectual property ownership. you are responsible for the accuracy of any information you publish, including ai-generated content."
ist.mit.edu_ai-guidance,20,"property ownership. you are responsible for the accuracy of any information you publish, including ai-generated content. be transparent about your use of ai tools you should disclose the use of generative ai tools for all academic, educational, and research-related uses. do not publish research results that rely on content generated through the use of generative ai tool without disclosing the nature of the use of"
ist.mit.edu_ai-guidance,21,generated through the use of generative ai tool without disclosing the nature of the use of such generative ai tool in producing the content. resources is&ts list of generative ai tools available at mit mit policies in addition to those already referenced above 9.2 personal conduct and responsibilities towards students and employees 10.0 academic and research misconduct and dishonesty academic integrity at mit policies regarding
ist.mit.edu_ai-guidance,22,students and employees 10.0 academic and research misconduct and dishonesty academic integrity at mit policies regarding student behavior responsible and ethical conduct at mit mit’s written information security program information protection at mit intellectual property patenting and commercializing your invention publishing scholarly communications: publishing and research citing ai tools sponsored research proprietary information of third parties industry sponsored research agreements page updated 2/19/2025 related pages
ist.mit.edu_ai-guidance,23,"sponsored research proprietary information of third parties industry sponsored research agreements page updated 2/19/2025 related pages and how to generative ai use at mit generative ai tools available at mit get help search the knowledge base for how-tos and answers to commonly asked questions request help from the service desk report security incident to the security team get it help by email or by phone,"
ist.mit.edu_ai-guidance,24,"desk report security incident to the security team get it help by email or by phone, 24/7 email: servicedesk@mit.edu phone: 617-253-1101 (3-1101) get it help in person, m-f, 8am-5pm at the atlas service center, e17-106 get started with it students faculty and staff visitors and guests generative ai use at mit guidance for use of generative ai tools generative ai tools available at mit openai"
ist.mit.edu_ai-guidance,25,at mit guidance for use of generative ai tools generative ai tools available at mit openai chatgpt for mit faculty our services get <br />software information security about is&t get help 24/7 ask the service desk access 24/7 chat via the atlas app servicedesk@mit.edu 617.253.1101 accessibility for faculty staff canvas atlas email lists guest accounts for students canvas websis connect to mitnet for visitors guest
ist.mit.edu_ai-guidance,26,canvas atlas email lists guest accounts for students canvas websis connect to mitnet for visitors guest wireless access guest accounts campus map for is&t staff is&t news organizational charts
