Type,ID,Text
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,1,guidelines for using chatgpt and other generative ai tools at harvard office of the provost skip to main content arrow_circle_down office of the provost menu close menu search search search office of the provost about about expand_more reports and statements contact initiatives initiatives expand_more interfaculty initiatives open inquiry and academic freedom non-discrimination and anti-bullying (ndab) policies update harvard online steering committee on human remains in
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,2,academic freedom non-discrimination and anti-bullying (ndab) policies update harvard online steering committee on human remains in university museum collections university accessibility committee (uac) harvard the legacy of slavery implementation committee for student mental health and wellness allston offices leadership policies resources resources expand_more funding academic unionization breadcrumbs home chevron_right guidelines for using chatgpt and other generative ai tools at harvard guidelines for using chatgpt and
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,3,"guidelines for using chatgpt and other generative ai tools at harvard guidelines for using chatgpt and other generative ai tools at harvard dear members of the harvard community, we write today with initial guidelines on the use and procurement of generative artificial intelligence (ai) tools, such as openai’s chatgpt and google bard. the university supports responsible experimentation with generative ai tools, but there are important"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,4,"and google bard. the university supports responsible experimentation with generative ai tools, but there are important considerations to keep in mind when using these tools, including information security and data privacy, compliance, copyright, and academic integrity. generative ai is rapidly evolving technology, and the university will continue to monitor developments and incorporate feedback from the harvard community to update our guidelines accordingly. initial guidelines for"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,5,"developments and incorporate feedback from the harvard community to update our guidelines accordingly. initial guidelines for use of generative ai tools: protect confidential data: you should not enter data classified as confidential (level and above), including non-public research data, into publicly-available generative ai tools, in accordance with the university’s information security policy information shared with generative ai tools using default settings is not private and"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,6,"information security policy information shared with generative ai tools using default settings is not private and could expose proprietary or sensitive information to unauthorized parties. you are responsible for any content that you produce or publish that includes ai-generated material: ai-generated content can be inaccurate, misleading, or entirely fabricated (sometimes called “hallucinations”), or may contain copyrighted material. review your ai-generated content before publication. adhere to"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,7,"(sometimes called “hallucinations”), or may contain copyrighted material. review your ai-generated content before publication. adhere to current policies on academic integrity: review your school’s student and faculty handbooks and policies. we expect that schools will be developing and updating their policies as we better understand the implications of using generative ai tools. in the meantime, faculty should be clear with students they’re teaching and advising"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,8,"generative ai tools. in the meantime, faculty should be clear with students they’re teaching and advising about their policies on permitted uses, if any, of generative ai in classes and on academic work. students are also encouraged to ask their instructors for clarification about these policies as needed. be alert for ai-enabled phishing: generative ai has made it easier for malicious actors to create sophisticated"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,9,alert for ai-enabled phishing: generative ai has made it easier for malicious actors to create sophisticated scams at far greater scale. continue to follow security best practices and report suspicious messages to phishing@harvard.edu connect with huit before procuring generative ai tools: the university is working to ensure that tools procured on behalf of harvard have the appropriate privacy and security protections and provide the best
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,10,"procured on behalf of harvard have the appropriate privacy and security protections and provide the best use of harvard funds. if you have procured or are considering procuring generative ai tools or have questions, contact huit at ithelp@harvard.edu vendor generative ai tools must be assessed for risk by harvard’s information security and data privacy office prior to use it is important to note that these"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,11,"information security and data privacy office prior to use it is important to note that these guidelines are not new university policy; rather, they leverage existing university policies. you can find more information about generative ai, including survey to collect data on its potential use, on the huit website which will be updated as new information becomes available. sincerely, alan m. garber provost meredith weenick"
provost.harvard.edu_guidelines-using-chatgpt-and-other-generative-ai-tools-harva,12,"which will be updated as new information becomes available. sincerely, alan m. garber provost meredith weenick executive vice president klara jelinkova vice president and university chief information officer location_on harvard university massachusetts hall cambridge, ma 02138 usa smartphone 617-495-1501 email related links office of the president admin login copyright 2026 the president and fellows of harvard college accessibility digital accessibility report copyright infringement info practices"
