Type,ID,Text
registrar.gse.harvard.edu_AI-policy,1,hgse ai policy office of the registrar skip to main content arrow_circle_down office of the registrar harvard graduate school of education menu close menu search search search academic calendar contact forms student handbook my.harvard help office of the registrar harvard graduate school of education learning learning expand_more enrollment course evaluations policies and forms communications to hgse students teaching teaching expand_more academic planning academic advising report
registrar.gse.harvard.edu_AI-policy,2,evaluations policies and forms communications to hgse students teaching teaching expand_more academic planning academic advising report records records expand_more transcripts enrollment and degree verification replacement diploma notarization and apostille data requests breadcrumbs home chevron_right learning chevron_right policies and forms chevron_right hgse ai-policy hgse ai policy learning learning expand_more enrollment enrollment expand_more fall and spring registration course catalog updates non-degree registration registration and course credit policies
registrar.gse.harvard.edu_AI-policy,3,enrollment expand_more fall and spring registration course catalog updates non-degree registration registration and course credit policies cross registration tuition assistance program (tap) registration registration expand_more field experience and independent study courses course evaluations policies and forms policies and forms expand_more auditing student bill tuition rates hgse ai-policy ferpa forms communications to hgse students hgse policy on student use of generative artificial intelligence in academic work
registrar.gse.harvard.edu_AI-policy,4,"communications to hgse students hgse policy on student use of generative artificial intelligence in academic work academic year 2025-2026 generative artificial intelligence (ai) poses both great opportunities and great challenges for the field of education. tools such as chatgpt, dall-e, and github copilot are having profound influence on teaching and learning and on your role as education practitioners and leaders. your time at hgse is"
registrar.gse.harvard.edu_AI-policy,5,"and learning and on your role as education practitioners and leaders. your time at hgse is an opportunity to learn to leverage such tools to produce more equitable access to and deeper engagement in education. hgse encourages responsible experimentation with generative ai tools, but there are important considerations to keep in mind when using these tools, including information security and data privacy, copyright issues, the"
registrar.gse.harvard.edu_AI-policy,6,"keep in mind when using these tools, including information security and data privacy, copyright issues, the trustworthiness of the content they generate, and academic integrity. the implications of using generative ai for your own learning are equally salient. it might be possible to use this technology to complete some class assignments while doing little work yourself, but short cutting the process of thinking and writing"
registrar.gse.harvard.edu_AI-policy,7,"class assignments while doing little work yourself, but short cutting the process of thinking and writing in this way would rob you of the learning you came to hgse to experience. at its best, generative ai can be like tutor or thought partner with unlimited time to help you learn but it should not be used to do the cognitive work for you, or else"
registrar.gse.harvard.edu_AI-policy,8,"learn but it should not be used to do the cognitive work for you, or else your own learning will be greatly diminished. the following guidelines aim to ensure that, in your academic work at hgse, you use generative ai when it can help you learn and not when it is hindrance. if you have any doubt about whether specific use of generative ai is"
registrar.gse.harvard.edu_AI-policy,9,"it is hindrance. if you have any doubt about whether specific use of generative ai is permitted for an assignment or course, you are responsible for discussing it with your instructor prior to using it. unless otherwise specified by your instructor, it is violation of the hgse academic integrity policy to use generative ai to create all or part of an assignment for course (e.g.,"
registrar.gse.harvard.edu_AI-policy,10,"policy to use generative ai to create all or part of an assignment for course (e.g., paper, memo, presentation, or short response) and submit it as your own. this rule parallels other rules. you may not ask another person to complete your assignment for course. you may not copy from something someone else has created or re-write in your own words something someone else has"
