Type,ID,Text
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,1,"using generative ai reflectively and responsibly in teaching and learning ucla teaching learning center skip to content our teaching resource index offers sortable overview of all our bulletins, guides, and other resources. you can also find timely teaching resources that address common teaching topics. teaching learning center newsletter signup campus partners donate about us meet our team special initiatives committees professors of teaching programs 10+10"
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,2,campus partners donate about us meet our team special initiatives committees professors of teaching programs 10+10 pop-up series collegium of university teaching fellows dad faculty fellows distinguished teaching awards holistic evaluation of teaching instructor wellbeing initiative student experience project (sep) tac program ta training requirements resources teaching resource index ai in teaching and learning educational innovation grants instructional design showcase maintaining instructional continuity making your
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,3,ai in teaching and learning educational innovation grants instructional design showcase maintaining instructional continuity making your course accessible teaching guides timely teaching resources preparing to teach services consultations instructional design media production senior survey student experiences of teaching (set) test scoring service newsroom events scholarly teaching seminars night to honor teaching ta postdoc teaching conference new instructor teaching institute events calendar about us meet our
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,4,honor teaching ta postdoc teaching conference new instructor teaching institute events calendar about us meet our team special initiatives committees professors of teaching programs 10+10 pop-up series collegium of university teaching fellows dad faculty fellows distinguished teaching awards holistic evaluation of teaching instructor wellbeing initiative student experience project (sep) tac program ta training requirements resources teaching resource index ai in teaching and learning educational innovation
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,5,tac program ta training requirements resources teaching resource index ai in teaching and learning educational innovation grants instructional design showcase maintaining instructional continuity making your course accessible teaching guides timely teaching resources preparing to teach services consultations instructional design media production senior survey student experiences of teaching (set) test scoring service newsroom events scholarly teaching seminars night to honor teaching ta postdoc teaching conference new
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,6,scoring service newsroom events scholarly teaching seminars night to honor teaching ta postdoc teaching conference new instructor teaching institute events calendar home resources teaching guides using generative ai reflectively and responsibly in teaching and learning using generative ai reflectively and responsibly in teaching and learning april 2025 what? artificial intelligence (ai) refers to the development of computer systems that can perform tasks typically requiring human
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,7,"intelligence (ai) refers to the development of computer systems that can perform tasks typically requiring human intellectual activities such as reasoning, learning, problem-solving, perception, and language understanding. ai models “learn to make prediction based on data,” such as “predict[ing] whether certain x-ray shows signs of tumor or if particular borrower is likely to default on loan” (zewe, 2023, introductory section). generative ai (genai) is subset"
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,8,"borrower is likely to default on loan” (zewe, 2023, introductory section). generative ai (genai) is subset of artificial intelligence focused on creating new data, rather than making predictions based on existing data. this can take the form of text, images, code, music, or videos. it uses techniques like deep learning and neural networks to generate original outputs that resemble the training data, often producing creative"
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,9,"learning and neural networks to generate original outputs that resemble the training data, often producing creative and novel results (zewe, 2023). tools related to genai genai tools are rapidly evolving, and the tlc will update this resource as developments occur. some examples of genai tools currently available are openai’s chatgpt and dall-e, microsoft’s copilot, google’s gemini, and claude. genai has also been integrated into google"
teaching.ucla.edu_resources_teaching-guides_using-generative-ai-reflectively-and,10,"chatgpt and dall-e, microsoft’s copilot, google’s gemini, and claude. genai has also been integrated into google searches in the form of ai overviews (reid, 2024), as well as into numerous other tools and software (e.g., grammarly). as genai continues to grow and evolve, its widespread use by students and opportunities for use in teaching and learning make it critical for instructors to reflect on how"
