Type,ID,Text
teaching.washington.edu_course-design_ai,1,"ai+teaching teaching@uw skip to content current site all the uw search scope current site all the uw enter search text university of washington university of washington students parents faculty staff alumni menu home course design start here align your course creating your syllabus flipped, hybrid, and online teaching large enrollment courses developing community agreements creating culture of academic integrity ai+teaching assessment, rubrics, and grading teaching"
teaching.washington.edu_course-design_ai,2,"enrollment courses developing community agreements creating culture of academic integrity ai+teaching assessment, rubrics, and grading teaching during natural and public health crises inclusion access start here making course materials accessible universal design for learning making course content inclusive fostering an inclusive class culture addressing microaggressions in class trauma-responsive teaching addressing specific student needs engaging students start here active and engaged teaching growth-oriented teaching relevant teaching"
teaching.washington.edu_course-design_ai,3,addressing specific student needs engaging students start here active and engaged teaching growth-oriented teaching relevant teaching teaching the first day of class promoting attendance and participation ai+teaching confronting misinformation responding to disruptions in the classroom addressing distressing current events office hours student hours particular types of engagement reflect iterate start here developing reflective teaching practice uw’s elements of effective teaching gathering student feedback self-assessment peer
teaching.washington.edu_course-design_ai,4,"start here developing reflective teaching practice uw’s elements of effective teaching gathering student feedback self-assessment peer review and evaluation teaching learning scholarship teaching awards learn with us start here workshops and courses consultations reflection and practice series teaching online 101 ai+teaching course course redesign clinic five for flourishing evidence-based teaching fellowship teaching@uw: strategies, resources, and connections for new uw faculty teaching@uw: strategies for tas about"
teaching.washington.edu_course-design_ai,5,"teaching fellowship teaching@uw: strategies, resources, and connections for new uw faculty teaching@uw: strategies for tas about teaching@uw network partnerships and projects in the news contact teaching@uw teaching@uw course design ai+teaching ai+teaching tools that use artificial intelligence (ai) have created opportunities and challenges across higher education. the speed and scale at which ai-powered tools can analyze data has already helped researchers advance human understanding in fields"
teaching.washington.edu_course-design_ai,6,"at which ai-powered tools can analyze data has already helped researchers advance human understanding in fields across the disciplinary spectrum. generative ai tools are also supporting the processes that guide scholars’ research, writing, and creative production. inside the classroom, ai-based tools are providing instructors and students with new ways to critically engage concepts and build skills. as with all technologies, there are affordances and drawbacks"
teaching.washington.edu_course-design_ai,7,"to critically engage concepts and build skills. as with all technologies, there are affordances and drawbacks associated with using ai. this page provides information that can help you integrate ai in your teaching in ways that are intentional, discerning, and learner-centered. what is ai? broadly speaking, ai refers to both research field and set of technologies that use computers and very large datasets to perform"
teaching.washington.edu_course-design_ai,8,"both research field and set of technologies that use computers and very large datasets to perform tasks, make predictions or recommendations, and solve problems that normally require human intelligence. as instructors, the type of ai that you are likely to integrate into your teaching is generative ai while you don’t need to be an expert in ai to use it in your teaching, here are"
teaching.washington.edu_course-design_ai,9,"don’t need to be an expert in ai to use it in your teaching, here are some foundational terms that can help you better understand the nature of ai. types of ai accordion machine learning this term refers to the practice of using algorithms and large datasets to train computers to recognize patterns and to apply what is known about those patterns to complete new"
teaching.washington.edu_course-design_ai,10,computers to recognize patterns and to apply what is known about those patterns to complete new tasks. here’s an excerpt from how generative ai tool responded when prompted to explain machine learning to 16-year-old: “let’s say you want to create program to recognize whether an email is spam or not. instead of giving the computer list of rules like “if the email contains the word
teaching.washington.edu_course-design_ai,11,"not. instead of giving the computer list of rules like “if the email contains the word ‘free’ then it’s spam,” you feed it lots of examples of emails labeled as spam and not spam. the computer then learns by itself what characteristics tend to be associated with spam emails and what makes an email likely to be safe….machine learning algorithms use these examples to find"
teaching.washington.edu_course-design_ai,12,"and what makes an email likely to be safe….machine learning algorithms use these examples to find patterns and make predictions or decisions without being explicitly programmed to do so.” (openai (2024), chatgpt (feb version) [large language model], chat gpt natural language processing (nlp) this term refers to the ability of computers to analyze and generate responses in ways that mimic humans’ use of language. nlp"
teaching.washington.edu_course-design_ai,13,"of computers to analyze and generate responses in ways that mimic humans’ use of language. nlp is made possible through machine learning computers are trained on huge datasets of text through which they identify patterns in things like syntax, semantic use, and sentiment. nlp enables computers to translate, summarize, or interpret text and speech in applications such as smart assistants like siri, search engines in"
teaching.washington.edu_course-design_ai,14,"or interpret text and speech in applications such as smart assistants like siri, search engines in web browsers like google, and autocorrect and spellcheck features in word processing applications like microsoft word. generative ai in simple terms, generative ai draws upon the patterns identified through machine learning processes (see above) to generate new content. whereas machine learning focuses on analyzing huge datasets to find patterns,"
teaching.washington.edu_course-design_ai,15,"above) to generate new content. whereas machine learning focuses on analyzing huge datasets to find patterns, generative ai draws on those patterns to generate text, images, music, and even videos. generative ai tools use math (probability) to predict what word, image, sound, etc. would most likely appear next in sequence. the output produced by generative ai is solely based on probability, rather than understanding and"
teaching.washington.edu_course-design_ai,16,"sequence. the output produced by generative ai is solely based on probability, rather than understanding and knowledge. large language model (llm) large language model (llm) is form of generative ai that has been trained on vast amounts of texts. it can generate text-based responses that look and feel very human-like. these models use deep learning techniques, particularly neural networks with many layers, to perform tasks"
teaching.washington.edu_course-design_ai,17,"human-like. these models use deep learning techniques, particularly neural networks with many layers, to perform tasks like text generation, translation, and summarization. please note currently, the only uw-supported generative ai tool is microsoft copilot the uw agreement with microsoft provides added protections, including enhanced protection of user data and privacy, for all uw users. instructors are encouraged to explore using copilot, rather than other non-uw-supported"
teaching.washington.edu_course-design_ai,18,"privacy, for all uw users. instructors are encouraged to explore using copilot, rather than other non-uw-supported generative ai tools. what ai is not: dispelling the myth of artificial intelligence because the responses are so quick and varied, it is easy to mistake generative ai output for actual human thought. but generative ai’s outputs are not thoughtful and only appear to answer questions as ai scholar"
teaching.washington.edu_course-design_ai,19,but generative ai’s outputs are not thoughtful and only appear to answer questions as ai scholar kate crawford notes “ai is neither artificial nor intelligent” ai systems don’t actually know anything. generative ai doesn’t think. instead it produces outputs that conform to the patterns evident in the datasets that trained them. ai’s ability to identify patterns has helped researchers in many fields. but as the
teaching.washington.edu_course-design_ai,20,"trained them. ai’s ability to identify patterns has helped researchers in many fields. but as the work of computer scientist and activist, timnit gebru and others has made clear, because it works from patterns found in their training datasets, generative ai may reproduce the values and bias encoded in those datasets we need to remember this because our students may be thinking of generative ai"
teaching.washington.edu_course-design_ai,21,"those datasets we need to remember this because our students may be thinking of generative ai as place to find “answers.” we need to prepare them to use generative ai thoughtfully. talking with students about ai your students are already using ai. because no technology currently exists that can reliably identify when student uses ai to complete an assignment, it is unlikely that you can"
teaching.washington.edu_course-design_ai,22,"reliably identify when student uses ai to complete an assignment, it is unlikely that you can prevent students from using ai. so adopting policing approach to student use of ai will likely be both time-consuming and unsuccessful. instead, because uw graduates will live and work in an ai world, it is important that we provide them with opportunities to better understand the issues associated with"
teaching.washington.edu_course-design_ai,23,"it is important that we provide them with opportunities to better understand the issues associated with ai and its relationship to learning. the following strategies can help instructors think about how to communicate with students about ai, set expectations, and increase students’ motivation to develop their own skills and ideas. set expectations establish policy for your course around the use of generative ai and communicate"
teaching.washington.edu_course-design_ai,24,ideas. set expectations establish policy for your course around the use of generative ai and communicate this with students through the syllabus and/or assignment prompts. here are some sample syllabus statements you can use or adapt to help articulate your expectations for student use of ai in your course. acknowledge that struggle is part of learning talk with students about how intellectual struggle is an
teaching.washington.edu_course-design_ai,25,"acknowledge that struggle is part of learning talk with students about how intellectual struggle is an necessary part of learning. learning happens only when we move outside what we already know. explain to students that when they use generative ai as shortcut to complete an assignment, they may miss an opportunity to become more effective thinkers, writers, researchers, and creators. communicate the importance of all"
teaching.washington.edu_course-design_ai,26,"an opportunity to become more effective thinkers, writers, researchers, and creators. communicate the importance of all college learning many students focus only on learning with clear connections to their intended career track and may be more willing to use shortcuts in courses they deem irrelevant. however, most students will change careers at least once in their lifetimes. talk with students about how the relevance of"
teaching.washington.edu_course-design_ai,27,"change careers at least once in their lifetimes. talk with students about how the relevance of your course may only become apparent years from now. the skills they learn in your course may transfer to other careers even careers that do not yet exist! discuss the social, ethical, and practical issues surrounding ai the processes that support generative ai tools raise issues related to privacy,"
