Type,ID,Text
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,1,"sample syllabus statements regarding student use of artificial intelligence teaching@uw skip to content current site all the uw search scope current site all the uw enter search text university of washington university of washington students parents faculty staff alumni menu home course design start here align your course creating your syllabus flipped, hybrid, and online teaching large enrollment courses developing community agreements creating culture of"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,2,"your syllabus flipped, hybrid, and online teaching large enrollment courses developing community agreements creating culture of academic integrity ai+teaching assessment, rubrics, and grading teaching during natural and public health crises inclusion access start here making course materials accessible universal design for learning making course content inclusive fostering an inclusive class culture addressing microaggressions in class trauma-responsive teaching addressing specific student needs engaging students start here"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,3,class culture addressing microaggressions in class trauma-responsive teaching addressing specific student needs engaging students start here active and engaged teaching growth-oriented teaching relevant teaching teaching the first day of class promoting attendance and participation ai+teaching confronting misinformation responding to disruptions in the classroom addressing distressing current events office hours student hours particular types of engagement reflect iterate start here developing reflective teaching practice uw’s elements
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,4,"student hours particular types of engagement reflect iterate start here developing reflective teaching practice uw’s elements of effective teaching gathering student feedback self-assessment peer review and evaluation teaching learning scholarship teaching awards learn with us start here workshops and courses consultations reflection and practice series teaching online 101 ai+teaching course course redesign clinic five for flourishing evidence-based teaching fellowship teaching@uw: strategies, resources, and connections for"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,5,"course course redesign clinic five for flourishing evidence-based teaching fellowship teaching@uw: strategies, resources, and connections for new uw faculty teaching@uw: strategies for tas about teaching@uw network partnerships and projects in the news contact teaching@uw teaching@uw course design ai+teaching sample syllabus statements regarding student use of artificial intelligence sample syllabus statements regarding student use of artificial intelligence this page provides some basic syllabus language you can"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,6,"statements regarding student use of artificial intelligence this page provides some basic syllabus language you can use or adapt to articulate your expectations for whether and/or how students may use ai-based tools in your course. stating your expectations in the syllabus is important because instructor expectations may differ from course to course. regardless of what your expectations regarding student use of ai-based tools are, consider"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,7,"course to course. regardless of what your expectations regarding student use of ai-based tools are, consider including the following elements in your syllabus statement: use how and how often will students be permitted to use ai-based tools in this course? what steps should students take to demonstrate or document their use of ai? why why was this policy selected for this course? what do students"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,8,"their use of ai? why why was this policy selected for this course? what do students need to understand about the relationship between your approach to teaching/learning outcomes and the use of ai? consequences how will you respond if students do not comply with these expectations? questions how should student reach out if they have questions about this policy? privacy reminder currently, the only uw-supported"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,9,"student reach out if they have questions about this policy? privacy reminder currently, the only uw-supported generative ai tool is microsoft copilot the uw agreement with microsoft provides added protections, including enhanced protection of user data and privacy, for all uw users. instructors are encouraged to explore using copilot, rather than other non-uw-supported generative ai tools. sample syllabus language for instructors who allow ai use"
teaching.washington.edu_course-design_ai_sample-ai-syllabus-statements,10,"rather than other non-uw-supported generative ai tools. sample syllabus language for instructors who allow ai use with some restrictions in this course, students are permitted to use ai-based tools (such as uw’s version of copilot on some assignments. the instructions for each assignment will include information about whether and how you may use ai-based tools to complete the assignment. all sources, including ai tools, must"
