Type,ID,Text
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,1,"course policies on generative ai use teaching and learning hub skip to content stanford university for immediate technical assistance during class time, call the gsb classroom support hotline: 1(650)736-3342 or submit support ticket to stanford service-now teaching resources faculty insights events news about contact toggle website search menu close teaching resources faculty insights events news about contact toggle website search winter close reminder the teaching"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,2,"teaching resources faculty insights events news about contact toggle website search winter close reminder the teaching and learning hub will shut down in compliance with stanford’s university-wide winter close from monday, december 22, 2025, through friday, january 2, 2026. regular operations will resume on monday, january 5, 2026. more details course policies on generative ai use engaging students pre-recording videos to share with your students"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,3,details course policies on generative ai use engaging students pre-recording videos to share with your students handout: zoom instructions for remote guest speakers faculty tips: teaching with presence and connection tools and technology asynchronous course discussions conducting role-plays using polls in the gsb classroom building classroom community leading effective discussions feedback collecting mid-quarter student feedback resources for remote teaching teaching in the virtual classroom open
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,4,"discussions feedback collecting mid-quarter student feedback resources for remote teaching teaching in the virtual classroom open discourse teaching during an election season handling sensitive topics writing content notices for sensitive content gsb students on open discourse: may 24, 2023 panel highlights engaging with difference in course content gsb faculty on open discourse and participation: april 13, 2022 panel highlights teaching and ai gsb student voices"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,5,"on open discourse and participation: april 13, 2022 panel highlights teaching and ai gsb student voices panel on exploring ai: event highlights faculty showcase on ai and teaching starting small with ai in the classroom teaching in the ai era course policies on generative ai use quick start guide to ai and teaching home docs teaching and ai teaching and ai course policies on generative"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,6,"to ai and teaching home docs teaching and ai teaching and ai course policies on generative ai use updated on december 11, 2025 table of contents gsb guidelines on classroom ai use gsb policy tips for setting your approach to ai use citing generative ai use template syllabus statements for generative ai use additional resources gsb guidelines on classroom ai use gsb policy mba/msx courses:"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,7,"for generative ai use additional resources gsb guidelines on classroom ai use gsb policy mba/msx courses: instructors may not ban student use of ai tools for take-home coursework including assignments and exams. instructors may choose whether to allow student use of ai tools for in-class work including exams. except for in-class exams, students should be allowed to use ai tools in cases where they are"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,8,"for in-class exams, students should be allowed to use ai tools in cases where they are able to use the internet and electronic devices. in-class assignments for which electronic devices are prohibited inherently also prohibit use of the internet, ai tools, tablets, laptops, calculators, etc. phd/undergraduate courses: follow the generative ai policy guidance from stanford’s office of community standards. tips for setting your approach to"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,9,"generative ai policy guidance from stanford’s office of community standards. tips for setting your approach to ai use consider your course goals to inform how you guide students on using ai in your course. explain your choices about ai use to students. connect your guidance to the learning goals of the course, industry standards (e.g., publication standards), or common industry cases (e.g., needing to give"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,10,"of the course, industry standards (e.g., publication standards), or common industry cases (e.g., needing to give input on the spot during board meetings). state your policy in your course syllabus and the course policies and norms form and then follow up in class with your students. citing generative ai use gsb students are expected to cite all resources, including generative ai tools used to prepare"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,11,"use gsb students are expected to cite all resources, including generative ai tools used to prepare their academic work. see the mba and msx assignment preparation policy nevertheless, many students are hesitant to report ai use. it can help to ask all students to report how they used ai (instead of whether they used ai). asking students to regularly report their ai use can help"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,12,"(instead of whether they used ai). asking students to regularly report their ai use can help normalize transparent ai use. here are some ways you can ask students to acknowledge ai use submit chat logs associated with major assignments or exams disclose ai use according to your industry’s emerging standards, if available include statements with coursework to disclose how ai was used example statement: gemini"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,13,"standards, if available include statements with coursework to disclose how ai was used example statement: gemini was used to gather sources for this project and create an initial written draft based on the author’s outline. substantial revisions were made by the author, with additional fact-checking with chatgpt. claude was used to generate data visualizations. the ideas discussed in this report are those of the author"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,14,"used to generate data visualizations. the ideas discussed in this report are those of the author alone. reflect on how they used ai for the assignment sample prompt: how did you use ai in this assignment? what was or wasn’t effective? what will you do differently next time? follow stanford library’s guide to citing ai in academic research, including guidelines and examples follow examples from"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,15,"stanford library’s guide to citing ai in academic research, including guidelines and examples follow examples from stanford uit on citing ai-generated content (see the faq “can you provide some examples of how to cite when content is generated by ai?”). template syllabus statements for generative ai use adapt the template syllabus statements below to fit your course. ai tools permitted for all coursework in this"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,16,"template syllabus statements below to fit your course. ai tools permitted for all coursework in this course, you may use generative ai tools for all coursework, including in-class work, according to the following guidelines for use. guidelines for use: the following stanford-approved generative ai tools should be used whenever possible when using ai tools for your coursework. these secure platforms may be used for most"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,17,"possible when using ai tools for your coursework. these secure platforms may be used for most prompts, materials, and data (except high risk data ). stanford ai playground google gemini and notebooklm (only when authenticated using your sunet id) nectir ai (accessed through canvas) include if you have enabled this tool for your course. optional: share links to additional tools that are recommended for your"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,18,"this tool for your course. optional: share links to additional tools that are recommended for your course. review and follow the guidelines provided in stanford it’s resource on responsible ai at stanford when using third-party, non-stanford-approved ai tool such as personal chatgpt account, make sure to check the fine print terms before signing up. avoid inputting information that should not be made public this includes"
tlhub.stanford.edu_docs_course-policies-on-generative-ai-use,19,"print terms before signing up. avoid inputting information that should not be made public this includes personal or confidential information of your own or that others share with you, as well as proprietary or copyrighted materials include relevant material types for your course: e.g., case studies, data sets, assignment prompts] that may be included in your coursework. optional: select one or more additional guidelines for"
