Type,ID,Text
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,1,generative ai your course teaching learning lab subscribe newsletter archive contact about tll staff teaching learning research evaluation contact newsletter archive events past events programs services tll speaker series teaching consultations observations faculty programs faculty cohort program programming for new faculty and instructors get ready to teach remote departmental action teams grad student programs teaching days teaching certificate pathways kaufman teaching certificate program grad teaching
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,2,action teams grad student programs teaching days teaching certificate pathways kaufman teaching certificate program grad teaching development tracks teaching development workshops teaching development fellows network flipping failure teaching resources design course where to start: backward design create syllabus syllabus checklist to support student belonging achievement transparency purpose structured support community belonging teaching philosophy statements generative ai your course chatgpt-4 questions from materials thermodynamics course maintain
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,3,"community belonging teaching philosophy statements generative ai your course chatgpt-4 questions from materials thermodynamics course maintain academic continuity how to teach help students retain, organize and integrate knowledge facilitate office hours teaching an interdisciplinary subject debate across the mit curriculum effective communication in the classroom working with your ta first day of class lessons learned from remote teaching learning fresh perspectives leveraging best practices from"
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,4,first day of class lessons learned from remote teaching learning fresh perspectives leveraging best practices from remote teaching for on-campus education how people learn metacognition self-regulation worked examples create an inclusive classroom academic belonging discussion guidelines implicit bias growth mindset creating accessible documents navigating politics navigating conflict bias in the classroom identities positionality break the bias habit (atlas learning module) assess student learning assess for
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,5,the classroom identities positionality break the bias habit (atlas learning module) assess student learning assess for learning how to give feedback how to use rubrics alternative grading: moving beyond traditional grades assess improve your teaching mid-semester formative feedback 2025 pilot of research-based revisions to mit’s subject evaluation (se) process craft faculty application research evaluation research evaluation consultations research evaluation faqs data resources selecting research methods
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,6,"craft faculty application research evaluation research evaluation consultations research evaluation faqs data resources selecting research methods determining the scope of your project evidence-based teaching mit inclusive equitable syllabus rubric mit learning strategies assessment blog generative ai your course home design course generative ai your course home design course generative ai your course read, refine, define articulate the sheer daily volume of new information and insights"
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,7,"ai your course read, refine, define articulate the sheer daily volume of new information and insights about generative ai (genai) makes it imperative for all of us to set aside regular periods of time to reflect on this powerful tool. we hope you’ll take time to develop your own reflections as well as discuss with your colleagues and students the successes and challenges you encounter,"
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,8,"reflections as well as discuss with your colleagues and students the successes and challenges you encounter, as well as identify lessons learned, and brainstorm about potential modifications for future semesters. to help mit faculty instructors navigate the sea of information on the use of genai in higher education tll has combined timely news, advice, and resources on genai with best practices in teaching and learning."
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,9,"has combined timely news, advice, and resources on genai with best practices in teaching and learning. as you design and deliver your subjects in this rapidly changing world of genai, we recommend that you engage with the following: refine your goals for learning be clear about your expectations and the acceptable use of gai rethink your assignments assessments consider alternate subject formats design for equity,"
tll.mit.edu_teaching-resources_course-design_gen-ai-your-course,10,"the acceptable use of gai rethink your assignments assessments consider alternate subject formats design for equity, accessibility, and student privacy the corresponding tabs below are designed to guide you through your planning process and support your teaching throughout the semester. in addition, you can download our quickstart guide to thinking about ai in your course to reference when considering how to use (or not use)"
