Type,ID,Text
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,1,1.3.3 using chatgpt artificial intelligence (ai) tools mba skip to main content harvard business school harvard business school logo mba mba admissions college students who are we looking for? frequently asked questions class profile application process application dates events blog videos recorded webinars financial aid tuition assistance summer fellowships career support exploration funds fast facts consumer information academic experience curriculum faculty research joint degree programs
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,2,"career support exploration funds fast facts consumer information academic experience curriculum faculty research joint degree programs the case method the field method global experience the section experience entrepreneurship student life activities, government clubs campus experience people community career journey your personalized experience career tools resources introduce yourself visit virtual campus tour student handbook registrar services for alumni general inquiries cross-registration see independent project requirements apply"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,3,"campus tour student handbook registrar services for alumni general inquiries cross-registration see independent project requirements apply more more mba more apply academic programs back academic programs combining bold ideas, powerful pedagogy, and collaborative cohort-based learning to deliver unparalleled management education and foster lifelong learning networks. mba program back mba program two years. world of difference. academic experience entrepreneurship student life career path admissions commencement financial"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,4,program two years. world of difference. academic experience entrepreneurship student life career path admissions commencement financial aid doctoral programs back doctoral programs new ideas for changing world overview phd programs research community admissions financial support placement executive education back executive education breakthrough learning for leaders. programs experience admissions solutions for organizations online back online learn online from the leaders in business education. courses for organizations
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,5,"for organizations online back online learn online from the leaders in business education. courses for organizations insights more info faculty research back faculty research bold ideas developed by world-class researchers working with real-world practitioners, and powerful pedagogy built around participant-centered learning in highly structured, interactive engagements. faculty research back research research grounded in practice. publications global research centers hbs case collection initiatives projects research services"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,6,"research research grounded in practice. publications global research centers hbs case collection initiatives projects research services seminars conferences research topics back research topics business environment business history entrepreneurship finance globalization health care human behavior decision-making leadership social enterprise technology innovation academic units back academic units accounting management business, government the international economy entrepreneurial management finance general management marketing negotiations, organizations markets organizational behavior strategy technology"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,7,"the international economy entrepreneurial management finance general management marketing negotiations, organizations markets organizational behavior strategy technology operations management alumni back alumni powerful learning networks that change the trajectory of careers, positively impact organizations, and make difference in the world. stories alumni directory lifelong learning careers programs events back programs events doing business in divided world faqs for alumni virtual programs hbs entrepreneurship summit hbs global"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,8,events doing business in divided world faqs for alumni virtual programs hbs entrepreneurship summit hbs global networking night new venture competition reunions live from klarman hall recent alumni regional events women at hbs aasu50 giving about back about hbs we educate leaders who make difference in the world. history annual report campus culture back campus culture our vibrant residential campus is designed to develop skills
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,9,annual report campus culture back campus culture our vibrant residential campus is designed to develop skills and build relationships that last lifetime. community at glance vital residential community campus built on philanthropy contemporary art commencement community values policies in-person campus tours leadership newsroom contact back contact us maps directions contact information insights back insights thought leadership from the hbs community. working knowledge podcasts faculty publications
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,10,"contact information insights back insights thought leadership from the hbs community. working knowledge podcasts faculty publications harvard business review recruiting back recruiting hbs students and alumni are serious, collaborative learners with diverse backgrounds and perspectives that positively impact organizations and make difference in the world. hire talent back hire talent insights advice back insights advice recruiting advice company perspectives student alumni stories contact us baker"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,11,"talent insights advice back insights advice recruiting advice company perspectives student alumni stories contact us baker library back baker library delivering distinctive information expertise, services, and products so that our community excels. explore databases ask us special collections archives faqs browse all services hours initiatives back initiatives critical mass and critical thinking around critically important topics. business environment business history entrepreneurship (rock center) health care"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,12,"and critical thinking around critically important topics. business environment business history entrepreneurship (rock center) health care leadership race, gender equity social enterprise make gift hbs facebook hbs linkedin hbs instagram hbs youtube cold call podcast itunes hbs tiktok 1.3.3 using chatgpt artificial intelligence (ai) tools 1.3 academic standards of conduct ... 1.3 academic standards of conduct 1.3.3 using chatgpt artificial intelligence (ai) tools skip left"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,13,"conduct ... 1.3 academic standards of conduct 1.3.3 using chatgpt artificial intelligence (ai) tools skip left navigation links 1.0 mba standards of conduct 1.1 hbs community values 1.2 general statement of conduct 1.3 academic standards of conduct 1.3.1 mba honor code 1.3.2 citing sources and plagiarism 1.3.3 using chatgpt artificial intelligence (ai) tools 1.3.4 classroom recording, photography social media 1.3.5 classroom non-attribution 1.3.6 academic retaliation"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,14,"artificial intelligence (ai) tools 1.3.4 classroom recording, photography social media 1.3.5 classroom non-attribution 1.3.6 academic retaliation 1.4 community standards of conduct 1.5 university-wide statement on rights and responsibilities 1.6 non-discrimination and anti-bullying 1.7 sexual harassment other sexual misconduct 1.0 mba standards of conduct navigate to... 1.1 hbs community values 1.2 general statement of conduct 1.3 academic standards of conduct 1.3.1 mba honor code 1.3.2 citing"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,15,"1.2 general statement of conduct 1.3 academic standards of conduct 1.3.1 mba honor code 1.3.2 citing sources and plagiarism 1.3.3 using chatgpt artificial intelligence (ai) tools 1.3.4 classroom recording, photography social media 1.3.5 classroom non-attribution 1.3.6 academic retaliation 1.4 community standards of conduct 1.5 university-wide statement on rights and responsibilities 1.6 non-discrimination and anti-bullying 1.7 sexual harassment other sexual misconduct the university supports responsible experimentation"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,16,"responsibilities 1.6 non-discrimination and anti-bullying 1.7 sexual harassment other sexual misconduct the university supports responsible experimentation with generative ai tools, but there are important considerations to keep in mind when using these tools, including information security and data privacy, copyright and academic integrity. generative ai is rapidly evolving technology and hbs’ policies may be updated from time to time. students are expected to remain informed"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,17,"and hbs’ policies may be updated from time to time. students are expected to remain informed of all current policies. faculty may allow the use of chatgpt and similar technologies in some circumstances, but students must ensure that such use is permitted and must make sure they understand any limitations on such use before using this technology. in using chatgpt or other generative ai tools,"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,18,"limitations on such use before using this technology. in using chatgpt or other generative ai tools, students must be aware of their limits and apply best practices to their use: protect confidential data: students should not enter data classified as confidential (level and above), including non-public research data, into publicly-available generative ai tools, in accordance with the university’s information security policy information shared with generative"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,19,"publicly-available generative ai tools, in accordance with the university’s information security policy information shared with generative ai tools using default settings is not private and could expose proprietary or sensitive information to unauthorized parties. students are responsible for any content that they produce or publish that includes ai-generated material: ai-generated content can be inaccurate, misleading, or entirely fabricated (sometimes called “hallucinations”), or may contain copyrighted"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,20,"ai-generated content can be inaccurate, misleading, or entirely fabricated (sometimes called “hallucinations”), or may contain copyrighted material. students must review all ai-generated content very carefully, recognizing that they are ultimately responsible for the accuracy of any work they submit. as clarified in the hbs citation guide students must cite their use of these ai tools appropriately. not doing so violates the mba honor code just"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,21,"their use of these ai tools appropriately. not doing so violates the mba honor code just as would failing to cite any other source. students must contact hbs it before procuring any generative ai tools. hbs it will coordinate with harvard university it (huit), as the university is working to ensure that any ai tools procured on behalf of harvard or used in the harvard"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,22,to ensure that any ai tools procured on behalf of harvard or used in the harvard environment have the appropriate privacy and security protections. students who are considering procuring generative ai tools or have questions about ai tools should contact hbs it at mbaithelp@hbs.edu all vendor-generative ai tools must be assessed for risk by harvard’s information security and data privacy office prior to use. all
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,23,"be assessed for risk by harvard’s information security and data privacy office prior to use. all hbs students are expected to understand and follow the complementary guidelines for the responsible use of ai that have been issued by harvard university and by hbs (login required) harvard business school mba admissions harvard business school boston, ma 02163 +1.617.495.6128 (wednesdays, 9:00 am to 4:00 pm) more contact"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,24,"admissions harvard business school boston, ma 02163 +1.617.495.6128 (wednesdays, 9:00 am to 4:00 pm) more contact information map directions hbs facebook hbs youtube hbs linkedin hbs mba admissions instagram cold call podcast itunes hbs tiktok president fellows of harvard college site map jobs harvard university trademarks policies accessibility digital accessibility harvard business school does not discriminate against applicants or students on the basis of race,"
www.hbs.edu_mba_handbook_standards-of-conduct_academic_Pages_chatgpt-and-ai.aspx,25,"accessibility harvard business school does not discriminate against applicants or students on the basis of race, color, national origin, ancestry, or any other protected classification."
