Type,ID,Text,Keywords
SU25-GAI_PoliciesPractices,1,copy of gai course design: policies practices ●​ gai teaching learning in higher ed ●​ impacts of gai on residential education ●​ reconsidering your learning outcomes ●​ redesigning your assessments classroom practices ●​ articulating your ai-use policy ●​ ai decision tree ●​ additional resources gai teaching learning in higher ed what instructors should know/do what students should know/do ●​ ai is ubiquitous students are using,"artificialintelligence, assessment, classroom, design, education, gai, impact, instructors, learn, policy, practice, resource, student, teach"
SU25-GAI_PoliciesPractices,2,"ed what instructors should know/do what students should know/do ●​ ai is ubiquitous students are using it, and are likely to use it in your course. ●​ just because you can use gai for an assignment, or other coursework doesn’t mean you should, ●​ there is no way to reliably detect its use. ●​ your use of gai may raise an instructor’s suspicions. ●​ create","artificialintelligence, assignment, coursework, create, gai, instructors, student"
SU25-GAI_PoliciesPractices,3,"reliably detect its use. ●​ your use of gai may raise an instructor’s suspicions. ●​ create and communicate clear, explicit acceptable use policy. ●​ provide rationale for the policy. ●​ stress student learning. ●​ build community of learners. ●​ understand your instructor’s ai use policy. ●​ ask questions about the policy if you are unsure. ●​ (mit does not have one, single ai-use policy don’t","artificialintelligence, community, create, gai, instructors, learn, policy, student"
SU25-GAI_PoliciesPractices,4,"the policy if you are unsure. ●​ (mit does not have one, single ai-use policy don’t assume that the policy in all of your subjects will be the same). ●​ communicate and discuss your gai policy with your colleagues. ●​ consider creating baseline, department or program policy. ●​ critically examine your learning goals and assessments of student learning. ○​ are your goals for learning still","artificialintelligence, assessment, create, gai, goal, learn, policy, program, student"
SU25-GAI_PoliciesPractices,5,"examine your learning goals and assessments of student learning. ○​ are your goals for learning still relevant ○​ are your assessments ai-aware? ○​ might the use of ai allow you to achieve higher-order, more advanced goals? ●​ take time to read and understand the learning goals for the course. ●​ convey to students why you have chosen the particular learning goals for the course. ●​","artificialintelligence, assessment, goal, learn, student"
SU25-GAI_PoliciesPractices,6,●​ convey to students why you have chosen the particular learning goals for the course. ●​ why is it important that students achieve these goals? ●​ using ai to do the work only shortcuts your learning and may prevent you from achieving the course goals. ●​ communicate the value and importance of your assignments and assessments. ○​ let students know why you have chosen each,"goal, important, learn, student"
SU25-GAI_PoliciesPractices,7,"and importance of your assignments and assessments. ○​ let students know why you have chosen each of the assignments. ○​ be explicit about what students should learn by engaging with each assignment (and how it measures their achievement of particular learning outcomes. ○​ if applicable, tell students why you are asking them not to use gai (or why you are asking them to use gai","applicable, assessment, assignment, engage, gai, learn, student"
SU25-GAI_PoliciesPractices,8,are asking them not to use gai (or why you are asking them to use gai in particular ○​ let them know what they will lose if they use ai for their work. ●​ just because ai can complete an assignment doesn’t mean you shouldnt do it yourself. ●​ what are you learning or not learning through your use of gai? be honest with yourself.,"artificialintelligence, assignment, gai, learn"
SU25-GAI_PoliciesPractices,9,"what are you learning or not learning through your use of gai? be honest with yourself. ●​ critically evaluate all ai output. ●​ be savvy user don’t be fooled by ai’s rapid responses and built-in certainty. ●​ how do you know the output is accurate, complete, and acceptable? impacts of gai on residential higher ed j. rankin, 2025 link to mural [1] mollick mollick: using","artificialintelligence, gai, impact, learn"
SU25-GAI_PoliciesPractices,10,"of gai on residential higher ed j. rankin, 2025 link to mural [1] mollick mollick: using ai to implement effective teaching strategies in classrooms: five strategies, [2] including prompts (2023); eric hudson learning on purpose reconsidering your learning outcomes genai reinforces the importance of an intentional, learner-centered course design approach wiggins mctighe, understanding by design how does the availability of llms/gai impact your goals for","artificialintelligence, design, gai, genai, goal, impact, learn, prompt, strategy, teach"
