item,count
academic,5
accessibility,13
accountability,19
accuracy,3
act,15
administrative,3
advice,3
aggregate,2
agreement,11
air,15
analyze,1
appendix,1
applicable,13
approval,4
artificialintelligence,151
assessment,21
attendees,1
barrier,1
bias,7
business,8
campus,10
capability,3
case,4
cerc,16
chatgpt,6
classroom,1
collaboration,1
committee,11
community,21
companion,2
compliance,26
concept,1
conflict,8
consultation,3
context,2
contract,5
control,1
create,11
cybersecurity,1
data,71
design,4
development,12
digital,1
disclosure,8
discrimination,14
draft,1
education,5
educational,3
engineer,1
enterprise,5
ethic,10
ethical,18
evaluation,1
event,3
experience,2
explore,1
external,1
faculty,10
faqs,1
framework,13
genai,5
generative,39
goal,1
governance,14
guidance,29
guide,14
guideline,14
gws,1
health,11
hipaa,8
human,6
idea,1
impact,5
important,1
inclusive,3
initiative,3
innovation,6
insight,2
instructional,1
integrity,12
language,2
law,19
learn,17
level,9
leverage,2
library,6
model,4
news,3
objective,2
office,24
open,5
openai,5
opportunity,6
overview,5
personal,29
pii,4
platform,1
policy,59
practice,12
privacy,68
program,6
project,2
prompt,6
proposal,7
protect,1
protection,19
record,20
requirement,3
research,22
resource,25
retention,2
review,27
risk,60
school,3
security,38
solution,1
statement,9
strategy,3
student,18
system,33
teach,8
team,1
technology,22
tool,66
topic,1
training,11
transparency,28
uit,4
unauthorized,1
university,53
usage,6
verify,1
violation,2
virtual,1
write,1
