item,count
academic,6
accessibility,2
administrative,4
applicable,3
authorize,8
barrier,2
capability,5
classification,13
classroom,3
cloud,3
collaboration,3
compliance,1
computer,4
control,11
custody,5
cybersecurity,1
data,47
device,18
electronic,1
employee,4
encryption,9
event,4
explore,8
facility,1
faculty,12
guidance,1
guide,21
gws,1
host,3
human,2
identity,1
install,5
integrity,2
ithelpgwu,6
knowledge,2
law,2
learn,2
legitimate,5
level,16
library,1
loss,2
measure,3
mobile,16
office,2
owned,10
personal,2
phone,5
physical,9
policy,6
practice,4
prints,3
privacy,4
protect,11
protection,17
public,21
quality,4
record,2
regulate,32
requirement,3
research,3
researcher,3
resource,2
restrict,27
review,1
risk,11
secure,5
security,14
sensitivity,1
software,7
strongly,3
student,6
system,10
teach,2
technology,17
tls,2
tool,6
transmit,5
unauthorized,11
university,26
