item,count
academic,38
accessibility,6
adapt,3
adobe,1
artificialintelligence,32
assignment,22
authorize,2
barrier,4
capability,2
chatgpt,5
class,21
classroom,4
communicate,12
context,1
control,1
create,10
data,4
draft,1
ethic,2
evaluate,4
event,8
excellence,11
expectation,17
explore,6
faculty,19
final,3
gai,2
gelmangwu,7
genai,59
generative,25
guidance,6
guide,6
guideline,6
human,5
idea,4
integrity,6
intellectual,2
invite,2
knowledge,2
learn,16
level,1
library,29
objective,6
output,7
permitted,3
policy,16
practice,1
privacy,7
product,2
program,8
prompt,7
quality,7
research,15
researcher,1
resource,13
restrict,1
review,12
risk,1
security,2
session,5
skill,3
software,4
step,10
strongly,2
student,55
style,1
success,2
teach,30
technology,2
tool,30
unauthorized,2
university,2
violation,1
workshop,7
write,12
zoom,2
