item,count
academic,4
acceptable,14
accessibility,3
activity,9
administrative,8
applicable,3
approval,1
authorize,22
barrier,3
classification,5
compliance,26
computer,5
control,1
create,2
cybersecurity,13
data,14
device,5
digital,7
electronic,5
employee,12
ethic,20
evaluate,1
facility,8
faculty,7
guidance,1
guide,5
gwid,3
gws,5
identity,14
install,1
integrity,5
intellectual,1
ithelpgwu,3
law,4
learn,6
legitimate,4
library,3
loss,4
measure,2
mobile,5
objective,3
office,20
owned,4
permitted,1
personal,8
phone,5
physical,7
policy,42
privacy,5
product,1
program,1
protect,4
protection,9
provost,4
record,2
requirement,3
research,12
researcher,11
resource,41
review,7
risk,31
scan,5
security,9
software,10
student,10
system,8
teach,6
technology,14
transmit,6
unacceptable,3
unauthorized,7
university,45
violation,2
