item,count
academic,81
accessibility,19
administrative,30
aggregate,3
approval,7
artificialintelligence,112
assistance,2
barrier,15
capability,17
chatbots,7
classification,23
classroom,16
collaboration,13
compliance,32
computer,11
consultation,3
context,10
control,22
create,18
cybersecurity,17
data,110
draft,10
employee,18
evaluate,10
event,23
expectation,22
explore,27
faculty,51
final,10
generative,49
guidance,41
guide,42
guideline,17
gws,20
human,12
identity,17
ithelpgwu,19
knowledge,8
languagemodels,9
learn,47
level,24
objective,18
output,14
personal,32
phone,16
pii,12
platform,8
policy,89
practice,21
privacy,57
product,10
program,11
prompt,18
protect,20
protection,35
public,40
quality,15
record,15
regulate,37
research,41
resource,65
restrict,36
review,44
risk,60
security,39
sensitivity,5
session,11
step,13
student,106
style,3
system,24
technology,70
tool,123
university,118
verify,6
virtual,20
acceptable,14
activity,12
applicable,7
authorize,33
device,23
electronic,6
ethic,24
facility,9
install,6
intellectual,7
law,11
legitimate,12
library,35
loss,6
mobile,21
office,45
owned,14
permitted,14
physical,16
provost,11
researcher,15
scan,5
software,23
teach,44
transmit,11
unacceptable,3
unauthorized,24
violation,7
adobe,5
chat,7
cloud,10
evaluation,19
zoom,11
adapt,4
assignment,36
chatgpt,17
class,35
communicate,12
excellence,11
gelmangwu,7
genai,61
idea,15
integrity,33
measure,5
requirement,11
custody,5
encryption,12
host,10
prints,3
secure,5
strongly,7
tls,2
gai,30
skill,7
write,24
invite,5
workshop,7
digital,8
gwid,3
attendees,5
companion,5
instructors,19
room,7
telehealth,4
language,10
model,5
success,2
quiz,5
school,3
