item,count
academic,12
accessibility,5
accuracy,5
adapt,1
advice,4
agreement,6
analyze,2
appendix,4
applicable,2
artificialintelligence,113
assessment,33
assignment,48
bias,8
blend,4
business,2
campus,5
case,1
chatbots,5
chatgpt,23
class,26
classroom,9
committee,7
community,9
compliance,2
computer,5
concept,4
conflict,1
consultation,7
contract,2
coursework,1
create,16
data,16
design,16
development,5
digital,3
disclosure,5
discrimination,2
draft,2
education,15
educational,9
engage,15
engineer,7
ethic,2
ethical,2
event,1
expectation,1
experience,2
faculty,17
fail,2
faqs,2
framework,1
gai,27
genai,31
generative,52
goal,22
governance,2
graduate,4
guidance,13
guide,3
guideline,7
hipaa,2
human,10
hybrid,2
idea,9
impact,14
important,4
inclusive,2
insight,3
instructors,12
integrity,5
law,4
learn,87
level,4
leverage,11
news,6
office,2
open,9
openai,9
opportunity,5
overview,2
personal,3
policy,29
practice,14
privacy,13
problem,28
professor,7
program,8
project,6
prompt,18
protection,5
quizzes,6
record,3
research,29
resource,35
review,6
risk,4
science,18
security,9
solution,10
solve,21
statement,8
strategy,7
student,92
syllabus,14
system,6
teach,52
team,5
technology,14
tool,37
topic,10
training,1
transparency,1
university,11
usage,1
workshop,1
world,4
write,38
writers,5
