item,count
academic,69
accessibility,18
accountability,2
accuracy,8
act,2
adapt,17
advice,5
agreement,8
analyze,24
applicable,2
arrow,13
artificialintelligence,311
assessment,27
assignment,89
bias,15
blend,3
business,7
campus,19
career,9
case,18
chatbots,20
chatgpt,67
class,45
classroom,43
committee,7
community,30
compliance,4
computer,18
concept,15
conflict,2
consultation,21
coursework,25
create,47
data,42
design,58
development,31
digital,29
discrimination,2
disruption,5
draft,10
education,38
educational,19
engage,33
engineer,7
enrollment,9
ethic,1
ethical,14
event,29
expectation,16
experience,22
external,3
faculty,56
fail,1
faqs,4
framework,7
genai,38
generative,110
goal,20
governance,2
graduate,17
guidance,32
guide,52
guideline,36
health,12
hgse,13
honor,9
human,12
hybrid,8
idea,27
impact,20
important,25
inclusive,16
initiative,17
innovation,22
insight,5
instructional,27
instructors,66
integrity,27
keyboard,10
kit,2
law,1
learn,171
level,3
leverage,10
library,20
news,11
office,27
open,23
openai,7
opportunity,36
overview,12
pattern,8
personal,16
policy,97
practice,31
privacy,26
problem,16
professor,15
program,36
project,20
prompt,34
proposal,4
protection,4
quizzes,1
record,19
research,37
resource,86
review,13
risk,15
school,13
science,11
security,6
senate,5
solution,7
solve,9
space,8
statement,33
strategy,16
student,219
syllabus,51
symposium,2
system,5
teach,160
team,21
technology,64
tool,187
topic,19
training,13
transparency,5
uit,2
university,58
usage,5
workshop,20
world,12
write,52
writers,2
