item,count
academic,38
accessibility,16
act,2
activity,3
administrative,15
adobe,4
advice,2
aggregate,1
agreement,3
analyze,2
approval,2
arrow,1
artificialintelligence,145
assessment,2
assignment,1
assistance,2
attendees,4
barrier,5
bias,6
billing,2
business,3
campus,23
capability,7
case,8
charter,1
chat,7
chatbots,2
chatgpt,13
class,10
classification,5
classroom,8
cloud,7
collaboration,9
committee,13
community,19
companion,3
compliance,10
computer,3
conflict,1
consultation,6
context,3
contract,2
control,8
coursework,1
create,14
cybersecurity,2
data,70
design,6
development,4
digital,11
discrimination,3
draft,7
education,4
employee,2
encryption,3
engage,3
enterprise,5
ethic,2
ethical,8
evaluate,3
evaluation,6
event,22
expectation,2
explore,12
external,2
faculty,33
faqs,5
final,3
gai,2
genai,3
generative,53
goal,1
governance,8
graduate,1
guidance,40
guide,30
guideline,37
gws,13
health,1
honor,1
host,7
human,6
idea,1
identity,2
impact,4
important,4
initiative,10
innovation,10
insight,2
instructors,9
integrity,13
invite,2
ithelpgwu,10
knowledge,4
languagemodels,2
law,4
learn,29
legitimate,2
level,4
leverage,7
library,8
messaging,4
news,10
objective,2
office,18
open,6
openai,4
opportunity,6
output,5
overview,10
personal,19
phone,6
pii,8
platform,7
policy,62
practice,31
privacy,39
problem,1
product,2
professor,1
program,5
project,8
prompt,12
proposal,2
protect,4
protection,12
public,17
quality,4
record,12
regulate,5
requirement,2
research,42
resource,42
restrict,8
retention,2
review,32
risk,26
room,7
school,5
science,3
security,30
seed,3
sensitivity,4
session,4
software,2
solution,10
space,5
statement,4
step,3
strategy,8
strongly,2
student,41
style,2
syllabus,3
symposium,1
system,14
teach,16
team,7
technology,53
telehealth,4
tool,113
topic,4
training,14
transparency,2
unauthorized,1
university,65
usage,10
verify,5
virtual,19
workshop,5
world,3
write,9
zoom,9
